,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00024127,2.9
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00024127,2.9
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00024127,2.0
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00024127,2.7
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00024127,3.6
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00024127,2.5
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00024127,2.2
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00024127,7.6
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00024127,3.8
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00024127,4.9
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00024127,4.3
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00024127,4.5
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00024127,4.7
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00024127,5.4
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00024127,4.5
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00024127,7.4
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00024127,8.7
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00024127,4.9
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00024127,10.1
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00024127,10.7
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00024127,6.7
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00024127,4.5
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00024127,4.9
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00024127,5.8
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00024127,3.8
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00024127,5.4
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00024127,4.9
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00024127,5.8
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00024127,11.2
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00024127,8.5
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00024127,6.5
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00024127,12.1
