,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00024127,320
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00024127,320
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00024127,280
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00024127,290
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00024127,170
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00024127,180
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00024127,280
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00024127,310
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00024127,350
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00024127,120
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00024127,190
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00024127,160
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00024127,350
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00024127,10
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00024127,190
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00024127,150
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00024127,210
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00024127,200
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00024127,170
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00024127,290
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00024127,160
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00024127,310
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00024127,150
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00024127,360
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00024127,290
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00024127,160
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00024127,150
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00024127,260
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00024127,170
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00024127,180
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00024127,260
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00024127,340
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00024127,310
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00024127,160
