,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00014972,1228
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00014972,1042
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00014972,803
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00014972,2206
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00014972,1453
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00014972,33
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00014972,2355
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00014972,1952
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00014972,1412
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00014972,2
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00014972,2110
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00014972,21
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00014972,1523
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00014972,2353
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00014972,314
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00014972,36
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00014972,1416
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00014972,346
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00014972,842
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00014972,944
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00014972,2
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00014972,107
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00014972,942
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00014972,22
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00014972,2332
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00014972,149
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00014972,2305
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00014972,1126
28,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00014972,651
29,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00014972,1412
30,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00014972,1528
31,",,W,",PGTM,2016-02-01T00:00:00,GHCND:USW00014972,2243
32,",,W,",PGTM,2016-02-02T00:00:00,GHCND:USW00014972,1232
33,",,W,",PGTM,2016-02-03T00:00:00,GHCND:USW00014972,113
34,",,W,",PGTM,2016-02-04T00:00:00,GHCND:USW00014972,1356
35,",,W,",PGTM,2016-02-05T00:00:00,GHCND:USW00014972,1418
36,",,W,",PGTM,2016-02-06T00:00:00,GHCND:USW00014972,1646
37,",,W,",PGTM,2016-02-07T00:00:00,GHCND:USW00014972,2316
38,",,W,",PGTM,2016-02-08T00:00:00,GHCND:USW00014972,925
39,",,W,",PGTM,2016-02-09T00:00:00,GHCND:USW00014972,46
40,",,W,",PGTM,2016-02-10T00:00:00,GHCND:USW00014972,1135
41,",,W,",PGTM,2016-02-11T00:00:00,GHCND:USW00014972,1229
42,",,W,",PGTM,2016-02-12T00:00:00,GHCND:USW00014972,942
43,",,W,",PGTM,2016-02-13T00:00:00,GHCND:USW00014972,2235
44,",,W,",PGTM,2016-02-14T00:00:00,GHCND:USW00014972,255
45,",,W,",PGTM,2016-02-15T00:00:00,GHCND:USW00014972,1410
46,",,W,",PGTM,2016-02-16T00:00:00,GHCND:USW00014972,741
47,",,W,",PGTM,2016-02-17T00:00:00,GHCND:USW00014972,2120
48,",,W,",PGTM,2016-02-18T00:00:00,GHCND:USW00014972,833
49,",,W,",PGTM,2016-02-19T00:00:00,GHCND:USW00014972,829
50,",,W,",PGTM,2016-02-20T00:00:00,GHCND:USW00014972,1221
51,",,W,",PGTM,2016-02-21T00:00:00,GHCND:USW00014972,2041
52,",,W,",PGTM,2016-02-22T00:00:00,GHCND:USW00014972,2009
53,",,W,",PGTM,2016-02-23T00:00:00,GHCND:USW00014972,1534
54,",,W,",PGTM,2016-02-24T00:00:00,GHCND:USW00014972,1349
55,",,W,",PGTM,2016-02-25T00:00:00,GHCND:USW00014972,1050
56,",,W,",PGTM,2016-02-26T00:00:00,GHCND:USW00014972,2248
57,",,W,",PGTM,2016-02-27T00:00:00,GHCND:USW00014972,1426
58,",,W,",PGTM,2016-02-28T00:00:00,GHCND:USW00014972,922
59,",,W,",PGTM,2016-02-29T00:00:00,GHCND:USW00014972,810
60,",,W,",PGTM,2016-03-01T00:00:00,GHCND:USW00014972,43
61,",,W,",PGTM,2016-03-02T00:00:00,GHCND:USW00014972,1745
62,",,W,",PGTM,2016-03-03T00:00:00,GHCND:USW00014972,515
63,",,W,",PGTM,2016-03-04T00:00:00,GHCND:USW00014972,936
64,",,W,",PGTM,2016-03-05T00:00:00,GHCND:USW00014972,424
65,",,W,",PGTM,2016-03-06T00:00:00,GHCND:USW00014972,1135
66,",,W,",PGTM,2016-03-07T00:00:00,GHCND:USW00014972,1442
67,",,W,",PGTM,2016-03-08T00:00:00,GHCND:USW00014972,1435
68,",,W,",PGTM,2016-03-09T00:00:00,GHCND:USW00014972,1007
69,",,W,",PGTM,2016-03-10T00:00:00,GHCND:USW00014972,1145
70,",,W,",PGTM,2016-03-11T00:00:00,GHCND:USW00014972,1336
71,",,W,",PGTM,2016-03-12T00:00:00,GHCND:USW00014972,1947
72,",,W,",PGTM,2016-03-13T00:00:00,GHCND:USW00014972,1025
73,",,W,",PGTM,2016-03-14T00:00:00,GHCND:USW00014972,1347
74,",,W,",PGTM,2016-03-15T00:00:00,GHCND:USW00014972,26
75,",,W,",PGTM,2016-03-16T00:00:00,GHCND:USW00014972,1812
76,",,W,",PGTM,2016-03-17T00:00:00,GHCND:USW00014972,1306
77,",,W,",PGTM,2016-03-18T00:00:00,GHCND:USW00014972,1205
78,",,W,",PGTM,2016-03-19T00:00:00,GHCND:USW00014972,1343
79,",,W,",PGTM,2016-03-20T00:00:00,GHCND:USW00014972,1156
80,",,W,",PGTM,2016-03-21T00:00:00,GHCND:USW00014972,1325
81,",,W,",PGTM,2016-03-22T00:00:00,GHCND:USW00014972,2322
82,",,W,",PGTM,2016-03-23T00:00:00,GHCND:USW00014972,1612
83,",,W,",PGTM,2016-03-24T00:00:00,GHCND:USW00014972,32
84,",,W,",PGTM,2016-03-25T00:00:00,GHCND:USW00014972,2231
