,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00014972,260
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00014972,260
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00014972,10
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00014972,180
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00014972,180
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00014972,190
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00014972,30
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00014972,340
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00014972,340
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00014972,260
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00014972,340
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00014972,330
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00014972,250
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00014972,340
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00014972,330
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00014972,310
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00014972,310
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00014972,300
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00014972,150
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00014972,180
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00014972,160
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00014972,360
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00014972,190
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00014972,230
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00014972,330
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00014972,320
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00014972,290
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00014972,330
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00014972,160
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00014972,200
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00014972,280
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00014972,50
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00014972,30
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00014972,340
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00014972,330
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00014972,180
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00014972,250
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00014972,330
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00014972,330
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00014972,340
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00014972,90
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00014972,160
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00014972,340
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00014972,140
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00014972,150
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00014972,170
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00014972,350
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00014972,140
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00014972,140
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00014972,280
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00014972,330
