,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00003164,10.7
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00003164,9.2
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00003164,9.4
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00003164,6.5
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00003164,10.7
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00003164,15.0
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00003164,12.1
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00003164,5.6
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00003164,4.3
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00003164,4.9
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00003164,11.2
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00003164,8.5
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00003164,6.9
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00003164,6.0
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00003164,4.3
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00003164,4.7
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00003164,3.8
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00003164,5.4
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00003164,4.9
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00003164,6.0
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00003164,15.2
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00003164,4.5
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00003164,8.3
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00003164,5.8
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00003164,11.0
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00003164,13.6
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00003164,12.1
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00003164,5.8
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00003164,7.6
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00003164,10.5
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00003164,20.8
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00003164,12.3
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00003164,7.6
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00003164,11.2
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00003164,11.6
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00003164,19.7
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00003164,16.1
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00003164,11.4
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00003164,14.1
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00003164,9.8
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00003164,7.2
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00003164,9.4
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00003164,7.2
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00003164,6.9
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00003164,8.1
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00003164,13.2
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00003164,6.0
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00003164,7.6
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00003164,5.6
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00003164,5.6
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00003164,6.9
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00003164,6.9
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00003164,8.5
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00003164,14.3
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00003164,13.0
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00003164,8.9
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00003164,6.7
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00003164,6.5
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00003164,6.7
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00003164,6.9
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00003164,7.2
