,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00023199,1228
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00023199,1255
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00023199,1245
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00023199,1357
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00023199,1928
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00023199,1152
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00023199,542
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00023199,57
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00023199,351
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00023199,1430
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00023199,1322
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00023199,1
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00023199,1658
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00023199,1359
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00023199,1305
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00023199,1247
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00023199,1122
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00023199,1720
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00023199,400
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00023199,1225
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00023199,1348
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00023199,1138
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00023199,2127
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00023199,112
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00023199,1323
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00023199,1101
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00023199,151
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00023199,728
