,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00053120,270
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00053120,90
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00053120,280
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00053120,70
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00053120,280
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00053120,250
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00053120,300
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00053120,270
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00053120,270
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00053120,270
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00053120,90
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00053120,270
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00053120,90
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00053120,150
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00053120,180
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00053120,310
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00053120,270
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00053120,300
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00053120,300
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00053120,290
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00053120,80
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00053120,220
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00053120,270
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00053120,210
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00053120,90
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00053120,90
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00053120,90
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00053120,280
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00053120,280
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00053120,300
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00053120,220
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00053120,280
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00053120,270
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00053120,80
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00053120,70
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00053120,80
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00053120,80
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00053120,100
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00053120,80
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00053120,70
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00053120,310
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00053120,280
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00053120,290
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00053120,300
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00053120,310
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00053120,50
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00053120,280
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00053120,190
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00053120,290
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00053120,280
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00053120,310
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00053120,300
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00053120,310
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00053120,80
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00053120,80
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00053120,270
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00053120,280
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00053120,280
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00053120,300
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00053120,280
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00053120,320
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00053120,330
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00053120,280
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00053120,270
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00053120,290
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00053120,290
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00053120,260
