,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-06-06T00:00:00,GHCND:USC00364778,70.2
1,",,7,",WDMV,2016-06-08T00:00:00,GHCND:USC00364778,62.8
2,",,7,",WDMV,2016-06-09T00:00:00,GHCND:USC00364778,60.9
3,",,7,",WDMV,2016-06-14T00:00:00,GHCND:USC00364778,243.0
4,",,7,",WDMV,2016-06-15T00:00:00,GHCND:USC00364778,11.2
5,",,7,",WDMV,2016-06-20T00:00:00,GHCND:USC00364778,67.1
6,",,7,",WDMV,2016-06-22T00:00:00,GHCND:USC00364778,60.9
7,",,7,",WDMV,2016-06-27T00:00:00,GHCND:USC00364778,49.7
8,",,7,",WDMV,2016-06-28T00:00:00,GHCND:USC00364778,3.7
9,",,7,",WDMV,2016-06-30T00:00:00,GHCND:USC00364778,23.0
10,",,7,",WDMV,2016-07-06T00:00:00,GHCND:USC00364778,31.1
11,",,7,",WDMV,2016-07-11T00:00:00,GHCND:USC00364778,96.9
12,",,7,",WDMV,2016-07-13T00:00:00,GHCND:USC00364778,29.8
13,",,7,",WDMV,2016-07-14T00:00:00,GHCND:USC00364778,18.0
14,",,7,",WDMV,2016-07-15T00:00:00,GHCND:USC00364778,16.2
15,",,7,",WDMV,2016-07-26T00:00:00,GHCND:USC00364778,29.2
