,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00014711,13.4
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00014711,7.4
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00014711,8.1
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00014711,13.0
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00014711,6.9
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00014711,1.1
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00014711,0.9
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00014711,4.5
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00014711,0.7
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00014711,13.2
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00014711,13.0
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00014711,9.8
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00014711,11.6
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00014711,4.0
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00014711,1.8
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00014711,9.6
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00014711,6.3
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00014711,18.3
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00014711,19.0
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00014711,9.2
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00014711,11.2
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00014711,6.0
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00014711,12.1
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00014711,8.3
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00014711,2.0
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00014711,2.0
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00014711,10.7
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00014711,2.7
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00014711,12.8
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00014711,4.3
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00014711,2.0
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00014711,2.5
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00014711,2.9
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00014711,5.8
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00014711,9.4
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00014711,11.2
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00014711,5.8
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00014711,2.9
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00014711,8.3
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00014711,5.6
