,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00014826,250
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00014826,230
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00014826,350
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00014826,40
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00014826,210
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00014826,250
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00014826,160
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00014826,150
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00014826,140
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00014826,300
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00014826,280
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00014826,290
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00014826,230
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00014826,140
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00014826,260
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00014826,280
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00014826,280
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00014826,290
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00014826,290
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00014826,280
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00014826,230
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00014826,40
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00014826,50
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00014826,240
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00014826,190
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00014826,260
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00014826,200
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00014826,300
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00014826,300
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00014826,220
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00014826,280
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00014826,290
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00014826,80
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00014826,240
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00014826,270
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00014826,300
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00014826,240
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00014826,210
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00014826,310
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00014826,280
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00014826,320
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00014826,300
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00014826,300
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00014826,330
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00014826,160
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00014826,150
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00014826,300
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00014826,300
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00014826,150
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00014826,250
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00014826,270
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00014826,20
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00014826,50
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00014826,40
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00014826,10
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00014826,310
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00014826,300
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00014826,240
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00014826,300
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00014826,280
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00014826,320
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00014826,320
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00014826,360
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00014826,290
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00014826,360
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00014826,190
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00014826,200
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00014826,210
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00014826,230
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00014826,360
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00014826,360
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00014826,190
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00014826,130
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00014826,140
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00014826,110
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00014826,270
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00014826,270
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00014826,70
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00014826,20
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00014826,290
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00014826,270
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00014826,230
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00014826,50
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00014826,340
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00014826,330
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00014826,140
86,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00014826,160
87,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00014826,300
88,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00014826,350
89,",,W,",WDF2,2016-03-30T00:00:00,GHCND:USW00014826,190
90,",,W,",WDF2,2016-03-31T00:00:00,GHCND:USW00014826,290
91,",,W,",WDF2,2016-04-01T00:00:00,GHCND:USW00014826,270
92,",,W,",WDF2,2016-04-02T00:00:00,GHCND:USW00014826,340
93,",,W,",WDF2,2016-04-03T00:00:00,GHCND:USW00014826,130
94,",,W,",WDF2,2016-04-04T00:00:00,GHCND:USW00014826,40
95,",,W,",WDF2,2016-04-05T00:00:00,GHCND:USW00014826,180
96,",,W,",WDF2,2016-04-06T00:00:00,GHCND:USW00014826,170
97,",,W,",WDF2,2016-04-07T00:00:00,GHCND:USW00014826,310
98,",,W,",WDF2,2016-04-08T00:00:00,GHCND:USW00014826,30
99,",,W,",WDF2,2016-04-09T00:00:00,GHCND:USW00014826,20
100,",,W,",WDF2,2016-04-10T00:00:00,GHCND:USW00014826,170
101,",,W,",WDF2,2016-04-11T00:00:00,GHCND:USW00014826,270
102,",,W,",WDF2,2016-04-12T00:00:00,GHCND:USW00014826,310
103,",,W,",WDF2,2016-04-13T00:00:00,GHCND:USW00014826,170
104,",,W,",WDF2,2016-04-14T00:00:00,GHCND:USW00014826,80
105,",,W,",WDF2,2016-04-15T00:00:00,GHCND:USW00014826,130
106,",,W,",WDF2,2016-04-16T00:00:00,GHCND:USW00014826,100
107,",,W,",WDF2,2016-04-17T00:00:00,GHCND:USW00014826,70
108,",,W,",WDF2,2016-04-18T00:00:00,GHCND:USW00014826,290
109,",,W,",WDF2,2016-04-19T00:00:00,GHCND:USW00014826,50
110,",,W,",WDF2,2016-04-20T00:00:00,GHCND:USW00014826,120
111,",,W,",WDF2,2016-04-21T00:00:00,GHCND:USW00014826,180
112,",,W,",WDF2,2016-04-22T00:00:00,GHCND:USW00014826,10
113,",,W,",WDF2,2016-04-23T00:00:00,GHCND:USW00014826,50
114,",,W,",WDF2,2016-04-24T00:00:00,GHCND:USW00014826,100
115,",,W,",WDF2,2016-04-25T00:00:00,GHCND:USW00014826,360
116,",,W,",WDF2,2016-04-26T00:00:00,GHCND:USW00014826,350
117,",,W,",WDF2,2016-04-27T00:00:00,GHCND:USW00014826,80
118,",,W,",WDF2,2016-04-28T00:00:00,GHCND:USW00014826,70
119,",,W,",WDF2,2016-04-29T00:00:00,GHCND:USW00014826,30
120,",,W,",WDF2,2016-04-30T00:00:00,GHCND:USW00014826,80
121,",,W,",WDF2,2016-05-01T00:00:00,GHCND:USW00014826,50
122,",,W,",WDF2,2016-05-02T00:00:00,GHCND:USW00014826,20
123,",,W,",WDF2,2016-05-03T00:00:00,GHCND:USW00014826,250
124,",,W,",WDF2,2016-05-04T00:00:00,GHCND:USW00014826,160
125,",,W,",WDF2,2016-05-05T00:00:00,GHCND:USW00014826,360
126,",,W,",WDF2,2016-05-06T00:00:00,GHCND:USW00014826,290
127,",,W,",WDF2,2016-05-07T00:00:00,GHCND:USW00014826,360
128,",,W,",WDF2,2016-05-08T00:00:00,GHCND:USW00014826,280
129,",,W,",WDF2,2016-05-09T00:00:00,GHCND:USW00014826,130
130,",,W,",WDF2,2016-05-10T00:00:00,GHCND:USW00014826,130
131,",,W,",WDF2,2016-05-11T00:00:00,GHCND:USW00014826,100
132,",,W,",WDF2,2016-05-12T00:00:00,GHCND:USW00014826,300
133,",,W,",WDF2,2016-05-13T00:00:00,GHCND:USW00014826,260
134,",,W,",WDF2,2016-05-14T00:00:00,GHCND:USW00014826,290
135,",,W,",WDF2,2016-05-15T00:00:00,GHCND:USW00014826,280
136,",,W,",WDF2,2016-05-16T00:00:00,GHCND:USW00014826,230
137,",,W,",WDF2,2016-05-17T00:00:00,GHCND:USW00014826,340
138,",,W,",WDF2,2016-05-18T00:00:00,GHCND:USW00014826,50
139,",,W,",WDF2,2016-05-19T00:00:00,GHCND:USW00014826,300
140,",,W,",WDF2,2016-05-20T00:00:00,GHCND:USW00014826,50
141,",,W,",WDF2,2016-05-21T00:00:00,GHCND:USW00014826,30
142,",,W,",WDF2,2016-05-22T00:00:00,GHCND:USW00014826,360
143,",,W,",WDF2,2016-05-23T00:00:00,GHCND:USW00014826,190
144,",,W,",WDF2,2016-05-24T00:00:00,GHCND:USW00014826,250
145,",,W,",WDF2,2016-05-25T00:00:00,GHCND:USW00014826,170
146,",,W,",WDF2,2016-05-26T00:00:00,GHCND:USW00014826,230
147,",,W,",WDF2,2016-05-27T00:00:00,GHCND:USW00014826,180
148,",,W,",WDF2,2016-05-28T00:00:00,GHCND:USW00014826,220
149,",,W,",WDF2,2016-05-29T00:00:00,GHCND:USW00014826,260
150,",,W,",WDF2,2016-05-30T00:00:00,GHCND:USW00014826,290
151,",,W,",WDF2,2016-05-31T00:00:00,GHCND:USW00014826,80
152,",,W,",WDF2,2016-06-01T00:00:00,GHCND:USW00014826,150
153,",,W,",WDF2,2016-06-02T00:00:00,GHCND:USW00014826,280
154,",,W,",WDF2,2016-06-03T00:00:00,GHCND:USW00014826,350
155,",,W,",WDF2,2016-06-04T00:00:00,GHCND:USW00014826,160
156,",,W,",WDF2,2016-06-05T00:00:00,GHCND:USW00014826,280
157,",,W,",WDF2,2016-06-06T00:00:00,GHCND:USW00014826,280
158,",,W,",WDF2,2016-06-07T00:00:00,GHCND:USW00014826,330
159,",,W,",WDF2,2016-06-08T00:00:00,GHCND:USW00014826,300
160,",,W,",WDF2,2016-06-09T00:00:00,GHCND:USW00014826,260
161,",,W,",WDF2,2016-06-10T00:00:00,GHCND:USW00014826,180
162,",,W,",WDF2,2016-06-11T00:00:00,GHCND:USW00014826,280
163,",,W,",WDF2,2016-06-12T00:00:00,GHCND:USW00014826,90
164,",,W,",WDF2,2016-06-13T00:00:00,GHCND:USW00014826,100
165,",,W,",WDF2,2016-06-14T00:00:00,GHCND:USW00014826,140
166,",,W,",WDF2,2016-06-15T00:00:00,GHCND:USW00014826,150
167,",,W,",WDF2,2016-06-16T00:00:00,GHCND:USW00014826,350
168,",,W,",WDF2,2016-06-17T00:00:00,GHCND:USW00014826,30
169,",,W,",WDF2,2016-06-18T00:00:00,GHCND:USW00014826,300
170,",,W,",WDF2,2016-06-19T00:00:00,GHCND:USW00014826,240
171,",,W,",WDF2,2016-06-20T00:00:00,GHCND:USW00014826,280
172,",,W,",WDF2,2016-06-21T00:00:00,GHCND:USW00014826,280
173,",,W,",WDF2,2016-06-22T00:00:00,GHCND:USW00014826,280
174,",,W,",WDF2,2016-06-23T00:00:00,GHCND:USW00014826,40
175,",,W,",WDF2,2016-06-24T00:00:00,GHCND:USW00014826,50
176,",,W,",WDF2,2016-06-25T00:00:00,GHCND:USW00014826,170
177,",,W,",WDF2,2016-06-26T00:00:00,GHCND:USW00014826,280
178,",,W,",WDF2,2016-06-27T00:00:00,GHCND:USW00014826,290
179,",,W,",WDF2,2016-06-28T00:00:00,GHCND:USW00014826,320
180,",,W,",WDF2,2016-06-29T00:00:00,GHCND:USW00014826,20
181,",,W,",WDF2,2016-06-30T00:00:00,GHCND:USW00014826,270
182,",,W,",WDF2,2016-07-01T00:00:00,GHCND:USW00014826,290
183,",,W,",WDF2,2016-07-02T00:00:00,GHCND:USW00014826,270
184,",,W,",WDF2,2016-07-03T00:00:00,GHCND:USW00014826,180
185,",,W,",WDF2,2016-07-04T00:00:00,GHCND:USW00014826,160
186,",,W,",WDF2,2016-07-05T00:00:00,GHCND:USW00014826,280
187,",,W,",WDF2,2016-07-06T00:00:00,GHCND:USW00014826,290
188,",,W,",WDF2,2016-07-07T00:00:00,GHCND:USW00014826,300
189,",,W,",WDF2,2016-07-08T00:00:00,GHCND:USW00014826,270
190,",,W,",WDF2,2016-07-09T00:00:00,GHCND:USW00014826,340
191,",,W,",WDF2,2016-07-10T00:00:00,GHCND:USW00014826,70
192,",,W,",WDF2,2016-07-11T00:00:00,GHCND:USW00014826,180
193,",,W,",WDF2,2016-07-12T00:00:00,GHCND:USW00014826,290
194,",,W,",WDF2,2016-07-13T00:00:00,GHCND:USW00014826,230
195,",,W,",WDF2,2016-07-14T00:00:00,GHCND:USW00014826,270
196,",,W,",WDF2,2016-07-15T00:00:00,GHCND:USW00014826,310
197,",,W,",WDF2,2016-07-16T00:00:00,GHCND:USW00014826,80
198,",,W,",WDF2,2016-07-17T00:00:00,GHCND:USW00014826,210
199,",,W,",WDF2,2016-07-18T00:00:00,GHCND:USW00014826,300
200,",,W,",WDF2,2016-07-19T00:00:00,GHCND:USW00014826,10
201,",,W,",WDF2,2016-07-20T00:00:00,GHCND:USW00014826,200
202,",,W,",WDF2,2016-07-21T00:00:00,GHCND:USW00014826,250
203,",,W,",WDF2,2016-07-22T00:00:00,GHCND:USW00014826,280
204,",,W,",WDF2,2016-07-23T00:00:00,GHCND:USW00014826,360
205,",,W,",WDF2,2016-07-24T00:00:00,GHCND:USW00014826,200
206,",,W,",WDF2,2016-07-25T00:00:00,GHCND:USW00014826,300
207,",,W,",WDF2,2016-07-26T00:00:00,GHCND:USW00014826,270
208,",,W,",WDF2,2016-07-27T00:00:00,GHCND:USW00014826,340
209,",,W,",WDF2,2016-07-28T00:00:00,GHCND:USW00014826,60
210,",,W,",WDF2,2016-07-29T00:00:00,GHCND:USW00014826,40
211,",,W,",WDF2,2016-07-30T00:00:00,GHCND:USW00014826,30
212,",,W,",WDF2,2016-07-31T00:00:00,GHCND:USW00014826,30
213,",,W,",WDF2,2016-08-01T00:00:00,GHCND:USW00014826,50
214,",,W,",WDF2,2016-08-02T00:00:00,GHCND:USW00014826,60
215,",,W,",WDF2,2016-08-03T00:00:00,GHCND:USW00014826,170
216,",,W,",WDF2,2016-08-04T00:00:00,GHCND:USW00014826,150
217,",,W,",WDF2,2016-08-05T00:00:00,GHCND:USW00014826,290
218,",,W,",WDF2,2016-08-06T00:00:00,GHCND:USW00014826,330
219,",,W,",WDF2,2016-08-07T00:00:00,GHCND:USW00014826,360
220,",,W,",WDF2,2016-08-08T00:00:00,GHCND:USW00014826,90
221,",,W,",WDF2,2016-08-09T00:00:00,GHCND:USW00014826,150
222,",,W,",WDF2,2016-08-10T00:00:00,GHCND:USW00014826,280
223,",,W,",WDF2,2016-08-11T00:00:00,GHCND:USW00014826,240
224,",,W,",WDF2,2016-08-12T00:00:00,GHCND:USW00014826,270
225,",,W,",WDF2,2016-08-13T00:00:00,GHCND:USW00014826,260
226,",,W,",WDF2,2016-08-14T00:00:00,GHCND:USW00014826,270
227,",,W,",WDF2,2016-08-15T00:00:00,GHCND:USW00014826,150
228,",,W,",WDF2,2016-08-16T00:00:00,GHCND:USW00014826,110
229,",,W,",WDF2,2016-08-17T00:00:00,GHCND:USW00014826,280
230,",,W,",WDF2,2016-08-18T00:00:00,GHCND:USW00014826,250
231,",,W,",WDF2,2016-08-19T00:00:00,GHCND:USW00014826,290
232,",,W,",WDF2,2016-08-20T00:00:00,GHCND:USW00014826,270
233,",,W,",WDF2,2016-08-21T00:00:00,GHCND:USW00014826,280
234,",,W,",WDF2,2016-08-22T00:00:00,GHCND:USW00014826,220
235,",,W,",WDF2,2016-08-23T00:00:00,GHCND:USW00014826,200
236,",,W,",WDF2,2016-08-24T00:00:00,GHCND:USW00014826,170
237,",,W,",WDF2,2016-08-25T00:00:00,GHCND:USW00014826,300
238,",,W,",WDF2,2016-08-26T00:00:00,GHCND:USW00014826,280
239,",,W,",WDF2,2016-08-27T00:00:00,GHCND:USW00014826,310
240,",,W,",WDF2,2016-08-28T00:00:00,GHCND:USW00014826,300
241,",,W,",WDF2,2016-08-29T00:00:00,GHCND:USW00014826,70
242,",,W,",WDF2,2016-08-30T00:00:00,GHCND:USW00014826,240
243,",,W,",WDF2,2016-08-31T00:00:00,GHCND:USW00014826,40
244,",,W,",WDF2,2016-09-01T00:00:00,GHCND:USW00014826,30
245,",,W,",WDF2,2016-09-02T00:00:00,GHCND:USW00014826,60
246,",,W,",WDF2,2016-09-03T00:00:00,GHCND:USW00014826,180
247,",,W,",WDF2,2016-09-04T00:00:00,GHCND:USW00014826,150
248,",,W,",WDF2,2016-09-05T00:00:00,GHCND:USW00014826,180
