,attributes,datatype,date,station,value
0,",,7,",AWND,2016-01-01T00:00:00,GHCND:USC00456747,10.1
1,",,7,",AWND,2016-01-02T00:00:00,GHCND:USC00456747,4.0
2,",,7,",AWND,2016-01-03T00:00:00,GHCND:USC00456747,4.0
3,",,7,",AWND,2016-01-04T00:00:00,GHCND:USC00456747,4.0
4,",,7,",AWND,2016-01-05T00:00:00,GHCND:USC00456747,2.9
5,",,7,",AWND,2016-01-06T00:00:00,GHCND:USC00456747,0.0
6,",,7,",AWND,2016-01-07T00:00:00,GHCND:USC00456747,0.0
7,",,7,",AWND,2016-01-08T00:00:00,GHCND:USC00456747,0.0
8,",,7,",AWND,2016-01-09T00:00:00,GHCND:USC00456747,0.9
9,",,7,",AWND,2016-01-10T00:00:00,GHCND:USC00456747,2.0
10,",,7,",AWND,2016-01-11T00:00:00,GHCND:USC00456747,2.9
11,",,7,",AWND,2016-01-12T00:00:00,GHCND:USC00456747,2.0
12,",,7,",AWND,2016-01-13T00:00:00,GHCND:USC00456747,15.0
13,",,7,",AWND,2016-01-14T00:00:00,GHCND:USC00456747,4.0
14,",,7,",AWND,2016-01-15T00:00:00,GHCND:USC00456747,8.9
15,",,7,",AWND,2016-01-16T00:00:00,GHCND:USC00456747,0.0
16,",,7,",AWND,2016-01-17T00:00:00,GHCND:USC00456747,0.0
17,",,7,",AWND,2016-01-18T00:00:00,GHCND:USC00456747,6.9
18,",,7,",AWND,2016-01-19T00:00:00,GHCND:USC00456747,2.9
19,",,7,",AWND,2016-01-20T00:00:00,GHCND:USC00456747,10.1
20,",,7,",AWND,2016-01-21T00:00:00,GHCND:USC00456747,6.9
21,",,7,",AWND,2016-01-22T00:00:00,GHCND:USC00456747,2.9
22,",,7,",AWND,2016-01-23T00:00:00,GHCND:USC00456747,0.9
23,",,7,",AWND,2016-01-24T00:00:00,GHCND:USC00456747,6.0
24,",,7,",AWND,2016-01-25T00:00:00,GHCND:USC00456747,8.9
25,",,7,",AWND,2016-01-26T00:00:00,GHCND:USC00456747,0.0
26,",,7,",AWND,2016-01-27T00:00:00,GHCND:USC00456747,2.0
27,",,7,",AWND,2016-01-28T00:00:00,GHCND:USC00456747,4.0
28,",,7,",AWND,2016-01-29T00:00:00,GHCND:USC00456747,2.0
29,",,7,",AWND,2016-01-30T00:00:00,GHCND:USC00456747,6.9
30,",,7,",AWND,2016-01-31T00:00:00,GHCND:USC00456747,0.0
31,",,7,",AWND,2016-02-02T00:00:00,GHCND:USC00456747,4.0
32,",,7,",AWND,2016-02-03T00:00:00,GHCND:USC00456747,4.0
33,",,7,",AWND,2016-02-04T00:00:00,GHCND:USC00456747,4.0
34,",,7,",AWND,2016-02-05T00:00:00,GHCND:USC00456747,2.0
35,",,7,",AWND,2016-02-06T00:00:00,GHCND:USC00456747,2.0
36,",,7,",AWND,2016-02-07T00:00:00,GHCND:USC00456747,2.0
37,",,7,",AWND,2016-02-08T00:00:00,GHCND:USC00456747,2.0
38,",,7,",AWND,2016-02-09T00:00:00,GHCND:USC00456747,2.9
39,",,7,",AWND,2016-02-10T00:00:00,GHCND:USC00456747,2.9
40,",,7,",AWND,2016-02-11T00:00:00,GHCND:USC00456747,4.9
41,",,7,",AWND,2016-02-12T00:00:00,GHCND:USC00456747,2.0
42,",,7,",AWND,2016-02-13T00:00:00,GHCND:USC00456747,17.9
