,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00024220,506
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00024220,2026
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00024220,812
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00024220,2321
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00024220,213
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00024220,144
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00024220,1842
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00024220,1757
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00024220,2207
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00024220,551
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00024220,537
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00024220,1442
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00024220,1729
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00024220,118
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00024220,2126
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00024220,11
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00024220,733
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00024220,1741
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00024220,643
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00024220,711
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00024220,2
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00024220,2049
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00024220,2346
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00024220,431
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00024220,318
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00024220,1421
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00024220,255
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00024220,1420
28,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00024220,1854
29,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00024220,1447
30,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00024220,1513
31,",,W,",PGTM,2016-02-01T00:00:00,GHCND:USW00024220,1541
32,",,W,",PGTM,2016-02-02T00:00:00,GHCND:USW00024220,121
33,",,W,",PGTM,2016-02-03T00:00:00,GHCND:USW00024220,1709
34,",,W,",PGTM,2016-02-04T00:00:00,GHCND:USW00024220,336
35,",,W,",PGTM,2016-02-05T00:00:00,GHCND:USW00024220,2355
36,",,W,",PGTM,2016-02-06T00:00:00,GHCND:USW00024220,915
37,",,W,",PGTM,2016-02-07T00:00:00,GHCND:USW00024220,313
38,",,W,",PGTM,2016-02-08T00:00:00,GHCND:USW00024220,1757
39,",,W,",PGTM,2016-02-09T00:00:00,GHCND:USW00024220,942
40,",,W,",PGTM,2016-02-10T00:00:00,GHCND:USW00024220,1343
41,",,W,",PGTM,2016-02-11T00:00:00,GHCND:USW00024220,545
42,",,W,",PGTM,2016-02-12T00:00:00,GHCND:USW00024220,1445
43,",,W,",PGTM,2016-02-13T00:00:00,GHCND:USW00024220,715
44,",,W,",PGTM,2016-02-14T00:00:00,GHCND:USW00024220,2310
45,",,W,",PGTM,2016-02-15T00:00:00,GHCND:USW00024220,323
46,",,W,",PGTM,2016-02-16T00:00:00,GHCND:USW00024220,1133
47,",,W,",PGTM,2016-02-17T00:00:00,GHCND:USW00024220,2357
48,",,W,",PGTM,2016-02-18T00:00:00,GHCND:USW00024220,1431
49,",,W,",PGTM,2016-02-19T00:00:00,GHCND:USW00024220,1814
50,",,W,",PGTM,2016-02-20T00:00:00,GHCND:USW00024220,324
51,",,W,",PGTM,2016-02-21T00:00:00,GHCND:USW00024220,1903
52,",,W,",PGTM,2016-02-22T00:00:00,GHCND:USW00024220,1627
53,",,W,",PGTM,2016-02-23T00:00:00,GHCND:USW00024220,1427
54,",,W,",PGTM,2016-02-24T00:00:00,GHCND:USW00024220,1115
55,",,W,",PGTM,2016-02-25T00:00:00,GHCND:USW00024220,1344
56,",,W,",PGTM,2016-02-26T00:00:00,GHCND:USW00024220,1318
57,",,W,",PGTM,2016-02-27T00:00:00,GHCND:USW00024220,1208
58,",,W,",PGTM,2016-02-28T00:00:00,GHCND:USW00024220,1349
59,",,W,",PGTM,2016-02-29T00:00:00,GHCND:USW00024220,27
60,",,W,",PGTM,2016-03-01T00:00:00,GHCND:USW00024220,1713
61,",,W,",PGTM,2016-03-02T00:00:00,GHCND:USW00024220,320
62,",,W,",PGTM,2016-03-03T00:00:00,GHCND:USW00024220,1255
63,",,W,",PGTM,2016-03-04T00:00:00,GHCND:USW00024220,958
64,",,W,",PGTM,2016-03-05T00:00:00,GHCND:USW00024220,2035
65,",,W,",PGTM,2016-03-06T00:00:00,GHCND:USW00024220,1548
66,",,W,",PGTM,2016-03-07T00:00:00,GHCND:USW00024220,1525
67,",,W,",PGTM,2016-03-08T00:00:00,GHCND:USW00024220,210
68,",,W,",PGTM,2016-03-09T00:00:00,GHCND:USW00024220,1215
69,",,W,",PGTM,2016-03-10T00:00:00,GHCND:USW00024220,1453
70,",,W,",PGTM,2016-03-11T00:00:00,GHCND:USW00024220,1455
71,",,W,",PGTM,2016-03-12T00:00:00,GHCND:USW00024220,1517
72,",,W,",PGTM,2016-03-13T00:00:00,GHCND:USW00024220,1010
73,",,W,",PGTM,2016-03-14T00:00:00,GHCND:USW00024220,1545
74,",,W,",PGTM,2016-03-15T00:00:00,GHCND:USW00024220,1520
75,",,W,",PGTM,2016-03-16T00:00:00,GHCND:USW00024220,1552
76,",,W,",PGTM,2016-03-17T00:00:00,GHCND:USW00024220,1549
77,",,W,",PGTM,2016-03-18T00:00:00,GHCND:USW00024220,1354
78,",,W,",PGTM,2016-03-19T00:00:00,GHCND:USW00024220,1344
79,",,W,",PGTM,2016-03-20T00:00:00,GHCND:USW00024220,2043
80,",,W,",PGTM,2016-03-21T00:00:00,GHCND:USW00024220,2138
81,",,W,",PGTM,2016-03-22T00:00:00,GHCND:USW00024220,1350
82,",,W,",PGTM,2016-03-23T00:00:00,GHCND:USW00024220,7
83,",,W,",PGTM,2016-03-24T00:00:00,GHCND:USW00024220,1551
84,",,W,",PGTM,2016-03-25T00:00:00,GHCND:USW00024220,911
85,",,W,",PGTM,2016-03-26T00:00:00,GHCND:USW00024220,1434
86,",,W,",PGTM,2016-03-27T00:00:00,GHCND:USW00024220,1408
87,",,W,",PGTM,2016-03-28T00:00:00,GHCND:USW00024220,801
88,",,W,",PGTM,2016-03-29T00:00:00,GHCND:USW00024220,932
89,",,W,",PGTM,2016-03-30T00:00:00,GHCND:USW00024220,16
90,",,W,",PGTM,2016-03-31T00:00:00,GHCND:USW00024220,1648
91,",,W,",PGTM,2016-04-01T00:00:00,GHCND:USW00024220,1939
92,",,W,",PGTM,2016-04-02T00:00:00,GHCND:USW00024220,1541
93,",,W,",PGTM,2016-04-03T00:00:00,GHCND:USW00024220,209
94,",,W,",PGTM,2016-04-04T00:00:00,GHCND:USW00024220,146
95,",,W,",PGTM,2016-04-05T00:00:00,GHCND:USW00024220,155
96,",,W,",PGTM,2016-04-06T00:00:00,GHCND:USW00024220,15
97,",,W,",PGTM,2016-04-07T00:00:00,GHCND:USW00024220,1501
98,",,W,",PGTM,2016-04-08T00:00:00,GHCND:USW00024220,2041
99,",,W,",PGTM,2016-04-09T00:00:00,GHCND:USW00024220,1604
100,",,W,",PGTM,2016-04-10T00:00:00,GHCND:USW00024220,1848
101,",,W,",PGTM,2016-04-11T00:00:00,GHCND:USW00024220,638
102,",,W,",PGTM,2016-04-12T00:00:00,GHCND:USW00024220,1955
103,",,W,",PGTM,2016-04-13T00:00:00,GHCND:USW00024220,752
104,",,W,",PGTM,2016-04-14T00:00:00,GHCND:USW00024220,240
105,",,W,",PGTM,2016-04-15T00:00:00,GHCND:USW00024220,834
106,",,W,",PGTM,2016-04-16T00:00:00,GHCND:USW00024220,25
107,",,W,",PGTM,2016-04-17T00:00:00,GHCND:USW00024220,1208
108,",,W,",PGTM,2016-04-18T00:00:00,GHCND:USW00024220,1443
109,",,W,",PGTM,2016-04-19T00:00:00,GHCND:USW00024220,1218
110,",,W,",PGTM,2016-04-20T00:00:00,GHCND:USW00024220,2316
111,",,W,",PGTM,2016-04-21T00:00:00,GHCND:USW00024220,113
112,",,W,",PGTM,2016-04-22T00:00:00,GHCND:USW00024220,1608
113,",,W,",PGTM,2016-04-23T00:00:00,GHCND:USW00024220,930
114,",,W,",PGTM,2016-04-24T00:00:00,GHCND:USW00024220,1513
115,",,W,",PGTM,2016-04-25T00:00:00,GHCND:USW00024220,1720
116,",,W,",PGTM,2016-04-26T00:00:00,GHCND:USW00024220,2031
117,",,W,",PGTM,2016-04-27T00:00:00,GHCND:USW00024220,1753
118,",,W,",PGTM,2016-04-28T00:00:00,GHCND:USW00024220,1706
119,",,W,",PGTM,2016-04-29T00:00:00,GHCND:USW00024220,1636
120,",,W,",PGTM,2016-04-30T00:00:00,GHCND:USW00024220,215
121,",,W,",PGTM,2016-05-01T00:00:00,GHCND:USW00024220,1248
122,",,W,",PGTM,2016-05-02T00:00:00,GHCND:USW00024220,1420
123,",,W,",PGTM,2016-05-03T00:00:00,GHCND:USW00024220,1644
124,",,W,",PGTM,2016-05-04T00:00:00,GHCND:USW00024220,1656
125,",,W,",PGTM,2016-05-05T00:00:00,GHCND:USW00024220,735
126,",,W,",PGTM,2016-05-06T00:00:00,GHCND:USW00024220,136
127,",,W,",PGTM,2016-05-07T00:00:00,GHCND:USW00024220,1739
128,",,W,",PGTM,2016-05-08T00:00:00,GHCND:USW00024220,1405
129,",,W,",PGTM,2016-05-09T00:00:00,GHCND:USW00024220,950
130,",,W,",PGTM,2016-05-10T00:00:00,GHCND:USW00024220,6
131,",,W,",PGTM,2016-05-11T00:00:00,GHCND:USW00024220,1138
132,",,W,",PGTM,2016-05-12T00:00:00,GHCND:USW00024220,2136
133,",,W,",PGTM,2016-05-13T00:00:00,GHCND:USW00024220,1509
134,",,W,",PGTM,2016-05-14T00:00:00,GHCND:USW00024220,2322
135,",,W,",PGTM,2016-05-15T00:00:00,GHCND:USW00024220,2345
136,",,W,",PGTM,2016-05-16T00:00:00,GHCND:USW00024220,1709
137,",,W,",PGTM,2016-05-17T00:00:00,GHCND:USW00024220,2022
138,",,W,",PGTM,2016-05-18T00:00:00,GHCND:USW00024220,1331
139,",,W,",PGTM,2016-05-19T00:00:00,GHCND:USW00024220,958
140,",,W,",PGTM,2016-05-20T00:00:00,GHCND:USW00024220,2047
141,",,W,",PGTM,2016-05-21T00:00:00,GHCND:USW00024220,1644
142,",,W,",PGTM,2016-05-22T00:00:00,GHCND:USW00024220,1026
143,",,W,",PGTM,2016-05-23T00:00:00,GHCND:USW00024220,1651
144,",,W,",PGTM,2016-05-24T00:00:00,GHCND:USW00024220,1651
145,",,W,",PGTM,2016-05-25T00:00:00,GHCND:USW00024220,1333
146,",,W,",PGTM,2016-05-26T00:00:00,GHCND:USW00024220,1636
147,",,W,",PGTM,2016-05-27T00:00:00,GHCND:USW00024220,1428
148,",,W,",PGTM,2016-05-28T00:00:00,GHCND:USW00024220,214
149,",,W,",PGTM,2016-05-29T00:00:00,GHCND:USW00024220,1510
150,",,W,",PGTM,2016-05-30T00:00:00,GHCND:USW00024220,48
151,",,W,",PGTM,2016-05-31T00:00:00,GHCND:USW00024220,1358
152,",,W,",PGTM,2016-06-01T00:00:00,GHCND:USW00024220,1728
153,",,W,",PGTM,2016-06-02T00:00:00,GHCND:USW00024220,1514
154,",,W,",PGTM,2016-06-03T00:00:00,GHCND:USW00024220,338
155,",,W,",PGTM,2016-06-04T00:00:00,GHCND:USW00024220,1241
156,",,W,",PGTM,2016-06-05T00:00:00,GHCND:USW00024220,2127
157,",,W,",PGTM,2016-06-06T00:00:00,GHCND:USW00024220,1740
158,",,W,",PGTM,2016-06-07T00:00:00,GHCND:USW00024220,1953
159,",,W,",PGTM,2016-06-08T00:00:00,GHCND:USW00024220,1618
160,",,W,",PGTM,2016-06-09T00:00:00,GHCND:USW00024220,641
161,",,W,",PGTM,2016-06-10T00:00:00,GHCND:USW00024220,1739
162,",,W,",PGTM,2016-06-11T00:00:00,GHCND:USW00024220,1335
163,",,W,",PGTM,2016-06-12T00:00:00,GHCND:USW00024220,1802
164,",,W,",PGTM,2016-06-13T00:00:00,GHCND:USW00024220,1542
165,",,W,",PGTM,2016-06-14T00:00:00,GHCND:USW00024220,1531
166,",,W,",PGTM,2016-06-15T00:00:00,GHCND:USW00024220,1750
167,",,W,",PGTM,2016-06-16T00:00:00,GHCND:USW00024220,729
168,",,W,",PGTM,2016-06-17T00:00:00,GHCND:USW00024220,1842
169,",,W,",PGTM,2016-06-18T00:00:00,GHCND:USW00024220,1441
170,",,W,",PGTM,2016-06-19T00:00:00,GHCND:USW00024220,16
171,",,W,",PGTM,2016-06-20T00:00:00,GHCND:USW00024220,1843
172,",,W,",PGTM,2016-06-21T00:00:00,GHCND:USW00024220,304
173,",,W,",PGTM,2016-06-22T00:00:00,GHCND:USW00024220,2036
174,",,W,",PGTM,2016-06-23T00:00:00,GHCND:USW00024220,1731
175,",,W,",PGTM,2016-06-24T00:00:00,GHCND:USW00024220,1305
176,",,W,",PGTM,2016-06-25T00:00:00,GHCND:USW00024220,1937
177,",,W,",PGTM,2016-06-26T00:00:00,GHCND:USW00024220,3
178,",,W,",PGTM,2016-06-27T00:00:00,GHCND:USW00024220,1910
179,",,W,",PGTM,2016-06-28T00:00:00,GHCND:USW00024220,2114
180,",,W,",PGTM,2016-06-29T00:00:00,GHCND:USW00024220,1924
181,",,W,",PGTM,2016-06-30T00:00:00,GHCND:USW00024220,2159
182,",,W,",PGTM,2016-07-01T00:00:00,GHCND:USW00024220,2055
183,",,W,",PGTM,2016-07-02T00:00:00,GHCND:USW00024220,1712
184,",,W,",PGTM,2016-07-03T00:00:00,GHCND:USW00024220,1327
185,",,W,",PGTM,2016-07-04T00:00:00,GHCND:USW00024220,1548
186,",,W,",PGTM,2016-07-05T00:00:00,GHCND:USW00024220,1830
187,",,W,",PGTM,2016-07-06T00:00:00,GHCND:USW00024220,1847
188,",,W,",PGTM,2016-07-07T00:00:00,GHCND:USW00024220,1019
189,",,W,",PGTM,2016-07-08T00:00:00,GHCND:USW00024220,2021
190,",,W,",PGTM,2016-07-09T00:00:00,GHCND:USW00024220,1758
191,",,W,",PGTM,2016-07-10T00:00:00,GHCND:USW00024220,1726
192,",,W,",PGTM,2016-07-11T00:00:00,GHCND:USW00024220,1650
193,",,W,",PGTM,2016-07-12T00:00:00,GHCND:USW00024220,1619
194,",,W,",PGTM,2016-07-13T00:00:00,GHCND:USW00024220,2122
195,",,W,",PGTM,2016-07-14T00:00:00,GHCND:USW00024220,2310
196,",,W,",PGTM,2016-07-15T00:00:00,GHCND:USW00024220,1644
197,",,W,",PGTM,2016-07-16T00:00:00,GHCND:USW00024220,1633
198,",,W,",PGTM,2016-07-17T00:00:00,GHCND:USW00024220,1626
199,",,W,",PGTM,2016-07-18T00:00:00,GHCND:USW00024220,1411
200,",,W,",PGTM,2016-07-19T00:00:00,GHCND:USW00024220,1422
201,",,W,",PGTM,2016-07-20T00:00:00,GHCND:USW00024220,102
202,",,W,",PGTM,2016-07-21T00:00:00,GHCND:USW00024220,2314
203,",,W,",PGTM,2016-07-22T00:00:00,GHCND:USW00024220,1637
204,",,W,",PGTM,2016-07-23T00:00:00,GHCND:USW00024220,1720
205,",,W,",PGTM,2016-07-24T00:00:00,GHCND:USW00024220,4
206,",,W,",PGTM,2016-07-25T00:00:00,GHCND:USW00024220,2045
207,",,W,",PGTM,2016-07-26T00:00:00,GHCND:USW00024220,1733
208,",,W,",PGTM,2016-07-27T00:00:00,GHCND:USW00024220,2009
209,",,W,",PGTM,2016-07-28T00:00:00,GHCND:USW00024220,1930
210,",,W,",PGTM,2016-07-29T00:00:00,GHCND:USW00024220,2018
211,",,W,",PGTM,2016-07-30T00:00:00,GHCND:USW00024220,1745
212,",,W,",PGTM,2016-07-31T00:00:00,GHCND:USW00024220,730
213,",,W,",PGTM,2016-08-01T00:00:00,GHCND:USW00024220,131
214,",,W,",PGTM,2016-08-02T00:00:00,GHCND:USW00024220,938
215,",,W,",PGTM,2016-08-03T00:00:00,GHCND:USW00024220,340
216,",,W,",PGTM,2016-08-04T00:00:00,GHCND:USW00024220,1438
217,",,W,",PGTM,2016-08-05T00:00:00,GHCND:USW00024220,1730
218,",,W,",PGTM,2016-08-06T00:00:00,GHCND:USW00024220,30
219,",,W,",PGTM,2016-08-07T00:00:00,GHCND:USW00024220,1618
220,",,W,",PGTM,2016-08-08T00:00:00,GHCND:USW00024220,814
221,",,W,",PGTM,2016-08-09T00:00:00,GHCND:USW00024220,1626
222,",,W,",PGTM,2016-08-10T00:00:00,GHCND:USW00024220,1816
223,",,W,",PGTM,2016-08-11T00:00:00,GHCND:USW00024220,23
224,",,W,",PGTM,2016-08-12T00:00:00,GHCND:USW00024220,1400
225,",,W,",PGTM,2016-08-13T00:00:00,GHCND:USW00024220,1955
226,",,W,",PGTM,2016-08-14T00:00:00,GHCND:USW00024220,1640
227,",,W,",PGTM,2016-08-15T00:00:00,GHCND:USW00024220,1744
228,",,W,",PGTM,2016-08-16T00:00:00,GHCND:USW00024220,1709
229,",,W,",PGTM,2016-08-17T00:00:00,GHCND:USW00024220,109
230,",,W,",PGTM,2016-08-18T00:00:00,GHCND:USW00024220,1912
231,",,W,",PGTM,2016-08-19T00:00:00,GHCND:USW00024220,251
232,",,W,",PGTM,2016-08-20T00:00:00,GHCND:USW00024220,1906
233,",,W,",PGTM,2016-08-21T00:00:00,GHCND:USW00024220,1739
234,",,W,",PGTM,2016-08-22T00:00:00,GHCND:USW00024220,1557
235,",,W,",PGTM,2016-08-23T00:00:00,GHCND:USW00024220,24
236,",,W,",PGTM,2016-08-24T00:00:00,GHCND:USW00024220,1157
237,",,W,",PGTM,2016-08-25T00:00:00,GHCND:USW00024220,1430
238,",,W,",PGTM,2016-08-26T00:00:00,GHCND:USW00024220,1649
239,",,W,",PGTM,2016-08-27T00:00:00,GHCND:USW00024220,1433
240,",,W,",PGTM,2016-08-28T00:00:00,GHCND:USW00024220,114
241,",,W,",PGTM,2016-08-29T00:00:00,GHCND:USW00024220,2045
242,",,W,",PGTM,2016-08-30T00:00:00,GHCND:USW00024220,1938
243,",,W,",PGTM,2016-08-31T00:00:00,GHCND:USW00024220,1525
244,",,W,",PGTM,2016-09-01T00:00:00,GHCND:USW00024220,1507
245,",,W,",PGTM,2016-09-02T00:00:00,GHCND:USW00024220,1617
246,",,W,",PGTM,2016-09-03T00:00:00,GHCND:USW00024220,1758
247,",,W,",PGTM,2016-09-04T00:00:00,GHCND:USW00024220,1554
248,",,W,",PGTM,2016-09-05T00:00:00,GHCND:USW00024220,1713
249,",,W,",PGTM,2016-09-06T00:00:00,GHCND:USW00024220,1617
250,",,W,",PGTM,2016-09-07T00:00:00,GHCND:USW00024220,1652
251,",,W,",PGTM,2016-09-08T00:00:00,GHCND:USW00024220,1454
252,",,W,",PGTM,2016-09-09T00:00:00,GHCND:USW00024220,50
253,",,W,",PGTM,2016-09-10T00:00:00,GHCND:USW00024220,1654
254,",,W,",PGTM,2016-09-11T00:00:00,GHCND:USW00024220,919
255,",,W,",PGTM,2016-09-12T00:00:00,GHCND:USW00024220,1327
256,",,W,",PGTM,2016-09-13T00:00:00,GHCND:USW00024220,1226
257,",,W,",PGTM,2016-09-14T00:00:00,GHCND:USW00024220,1638
258,",,W,",PGTM,2016-09-15T00:00:00,GHCND:USW00024220,2250
259,",,W,",PGTM,2016-09-16T00:00:00,GHCND:USW00024220,2326
260,",,W,",PGTM,2016-09-17T00:00:00,GHCND:USW00024220,1406
261,",,W,",PGTM,2016-09-18T00:00:00,GHCND:USW00024220,1522
262,",,W,",PGTM,2016-09-19T00:00:00,GHCND:USW00024220,1538
263,",,W,",PGTM,2016-09-20T00:00:00,GHCND:USW00024220,2113
264,",,W,",PGTM,2016-09-21T00:00:00,GHCND:USW00024220,2317
265,",,W,",PGTM,2016-09-22T00:00:00,GHCND:USW00024220,1536
266,",,W,",PGTM,2016-09-23T00:00:00,GHCND:USW00024220,2053
267,",,W,",PGTM,2016-09-24T00:00:00,GHCND:USW00024220,308
268,",,W,",PGTM,2016-09-25T00:00:00,GHCND:USW00024220,126
269,",,W,",PGTM,2016-09-26T00:00:00,GHCND:USW00024220,2350
270,",,W,",PGTM,2016-09-27T00:00:00,GHCND:USW00024220,310
271,",,W,",PGTM,2016-09-28T00:00:00,GHCND:USW00024220,1903
272,",,W,",PGTM,2016-09-29T00:00:00,GHCND:USW00024220,2136
273,",,W,",PGTM,2016-09-30T00:00:00,GHCND:USW00024220,1952
274,",,W,",PGTM,2016-10-01T00:00:00,GHCND:USW00024220,1138
275,",,W,",PGTM,2016-10-02T00:00:00,GHCND:USW00024220,2046
276,",,W,",PGTM,2016-10-03T00:00:00,GHCND:USW00024220,937
277,",,W,",PGTM,2016-10-04T00:00:00,GHCND:USW00024220,1242
278,",,W,",PGTM,2016-10-05T00:00:00,GHCND:USW00024220,1313
279,",,W,",PGTM,2016-10-06T00:00:00,GHCND:USW00024220,2334
280,",,W,",PGTM,2016-10-07T00:00:00,GHCND:USW00024220,1437
281,",,W,",PGTM,2016-10-08T00:00:00,GHCND:USW00024220,1542
282,",,W,",PGTM,2016-10-09T00:00:00,GHCND:USW00024220,524
283,",,W,",PGTM,2016-10-10T00:00:00,GHCND:USW00024220,154
284,",,W,",PGTM,2016-10-11T00:00:00,GHCND:USW00024220,1123
285,",,W,",PGTM,2016-10-12T00:00:00,GHCND:USW00024220,2055
286,",,W,",PGTM,2016-10-13T00:00:00,GHCND:USW00024220,2025
287,",,W,",PGTM,2016-10-14T00:00:00,GHCND:USW00024220,1431
288,",,W,",PGTM,2016-10-15T00:00:00,GHCND:USW00024220,1441
289,",,W,",PGTM,2016-10-16T00:00:00,GHCND:USW00024220,1313
290,",,W,",PGTM,2016-10-17T00:00:00,GHCND:USW00024220,1414
291,",,W,",PGTM,2016-10-18T00:00:00,GHCND:USW00024220,1546
292,",,W,",PGTM,2016-10-19T00:00:00,GHCND:USW00024220,1241
293,",,W,",PGTM,2016-10-20T00:00:00,GHCND:USW00024220,1432
294,",,W,",PGTM,2016-10-21T00:00:00,GHCND:USW00024220,2125
295,",,W,",PGTM,2016-10-22T00:00:00,GHCND:USW00024220,1446
296,",,W,",PGTM,2016-10-23T00:00:00,GHCND:USW00024220,1539
297,",,W,",PGTM,2016-10-24T00:00:00,GHCND:USW00024220,2050
298,",,W,",PGTM,2016-10-25T00:00:00,GHCND:USW00024220,1209
299,",,W,",PGTM,2016-10-26T00:00:00,GHCND:USW00024220,2357
300,",,W,",PGTM,2016-10-27T00:00:00,GHCND:USW00024220,300
301,",,W,",PGTM,2016-10-28T00:00:00,GHCND:USW00024220,1800
302,",,W,",PGTM,2016-10-29T00:00:00,GHCND:USW00024220,1115
303,",,W,",PGTM,2016-10-30T00:00:00,GHCND:USW00024220,1051
304,",,W,",PGTM,2016-10-31T00:00:00,GHCND:USW00024220,1612
305,",,W,",PGTM,2016-11-01T00:00:00,GHCND:USW00024220,1446
306,",,W,",PGTM,2016-11-02T00:00:00,GHCND:USW00024220,431
307,",,W,",PGTM,2016-11-03T00:00:00,GHCND:USW00024220,48
308,",,W,",PGTM,2016-11-04T00:00:00,GHCND:USW00024220,1839
309,",,W,",PGTM,2016-11-05T00:00:00,GHCND:USW00024220,2234
310,",,W,",PGTM,2016-11-06T00:00:00,GHCND:USW00024220,115
311,",,W,",PGTM,2016-11-07T00:00:00,GHCND:USW00024220,1541
312,",,W,",PGTM,2016-11-08T00:00:00,GHCND:USW00024220,1313
313,",,W,",PGTM,2016-11-09T00:00:00,GHCND:USW00024220,2303
314,",,W,",PGTM,2016-11-10T00:00:00,GHCND:USW00024220,1047
315,",,W,",PGTM,2016-11-11T00:00:00,GHCND:USW00024220,2314
316,",,W,",PGTM,2016-11-12T00:00:00,GHCND:USW00024220,1508
317,",,W,",PGTM,2016-11-13T00:00:00,GHCND:USW00024220,134
318,",,W,",PGTM,2016-11-14T00:00:00,GHCND:USW00024220,1315
319,",,W,",PGTM,2016-11-15T00:00:00,GHCND:USW00024220,1420
320,",,W,",PGTM,2016-11-16T00:00:00,GHCND:USW00024220,1305
321,",,W,",PGTM,2016-11-17T00:00:00,GHCND:USW00024220,1817
322,",,W,",PGTM,2016-11-18T00:00:00,GHCND:USW00024220,645
323,",,W,",PGTM,2016-11-19T00:00:00,GHCND:USW00024220,220
324,",,W,",PGTM,2016-11-20T00:00:00,GHCND:USW00024220,319
325,",,W,",PGTM,2016-11-21T00:00:00,GHCND:USW00024220,1710
326,",,W,",PGTM,2016-11-22T00:00:00,GHCND:USW00024220,1522
327,",,W,",PGTM,2016-11-23T00:00:00,GHCND:USW00024220,729
328,",,W,",PGTM,2016-11-24T00:00:00,GHCND:USW00024220,806
329,",,W,",PGTM,2016-11-25T00:00:00,GHCND:USW00024220,43
330,",,W,",PGTM,2016-11-26T00:00:00,GHCND:USW00024220,1624
331,",,W,",PGTM,2016-11-27T00:00:00,GHCND:USW00024220,1011
332,",,W,",PGTM,2016-11-28T00:00:00,GHCND:USW00024220,644
333,",,W,",PGTM,2016-11-29T00:00:00,GHCND:USW00024220,131
334,",,W,",PGTM,2016-11-30T00:00:00,GHCND:USW00024220,1903
335,",,W,",PGTM,2016-12-01T00:00:00,GHCND:USW00024220,1359
336,",,W,",PGTM,2016-12-02T00:00:00,GHCND:USW00024220,2348
