,attributes,datatype,date,station,value
0,",,W,",WSF5,2016-01-01T00:00:00,GHCND:USW00024216,25.1
1,",,W,",WSF5,2016-01-02T00:00:00,GHCND:USW00024216,18.1
2,",,W,",WSF5,2016-01-03T00:00:00,GHCND:USW00024216,13.0
3,",,W,",WSF5,2016-01-04T00:00:00,GHCND:USW00024216,11.0
4,",,W,",WSF5,2016-01-05T00:00:00,GHCND:USW00024216,35.1
5,",,W,",WSF5,2016-01-06T00:00:00,GHCND:USW00024216,32.0
6,",,W,",WSF5,2016-01-07T00:00:00,GHCND:USW00024216,8.1
7,",,W,",WSF5,2016-01-08T00:00:00,GHCND:USW00024216,25.1
8,",,W,",WSF5,2016-01-09T00:00:00,GHCND:USW00024216,19.9
9,",,W,",WSF5,2016-01-10T00:00:00,GHCND:USW00024216,15.0
10,",,W,",WSF5,2016-01-11T00:00:00,GHCND:USW00024216,11.0
11,",,W,",WSF5,2016-01-12T00:00:00,GHCND:USW00024216,35.1
12,",,W,",WSF5,2016-01-13T00:00:00,GHCND:USW00024216,42.1
13,",,W,",WSF5,2016-01-14T00:00:00,GHCND:USW00024216,32.0
14,",,W,",WSF5,2016-01-15T00:00:00,GHCND:USW00024216,13.0
15,",,W,",WSF5,2016-01-16T00:00:00,GHCND:USW00024216,25.1
16,",,W,",WSF5,2016-01-17T00:00:00,GHCND:USW00024216,47.0
17,",,W,",WSF5,2016-01-18T00:00:00,GHCND:USW00024216,25.1
18,",,W,",WSF5,2016-01-19T00:00:00,GHCND:USW00024216,46.1
19,",,W,",WSF5,2016-01-20T00:00:00,GHCND:USW00024216,12.1
20,",,W,",WSF5,2016-01-21T00:00:00,GHCND:USW00024216,31.1
21,",,W,",WSF5,2016-01-22T00:00:00,GHCND:USW00024216,40.9
22,",,W,",WSF5,2016-01-23T00:00:00,GHCND:USW00024216,42.9
23,",,W,",WSF5,2016-01-24T00:00:00,GHCND:USW00024216,17.0
24,",,W,",WSF5,2016-01-25T00:00:00,GHCND:USW00024216,14.1
25,",,W,",WSF5,2016-01-26T00:00:00,GHCND:USW00024216,15.0
26,",,W,",WSF5,2016-01-27T00:00:00,GHCND:USW00024216,16.1
27,",,W,",WSF5,2016-01-28T00:00:00,GHCND:USW00024216,14.1
28,",,W,",WSF5,2016-01-29T00:00:00,GHCND:USW00024216,30.0
29,",,W,",WSF5,2016-01-30T00:00:00,GHCND:USW00024216,17.0
30,",,W,",WSF5,2016-01-31T00:00:00,GHCND:USW00024216,46.1
31,",,W,",WSF5,2016-02-01T00:00:00,GHCND:USW00024216,25.9
32,",,W,",WSF5,2016-02-02T00:00:00,GHCND:USW00024216,11.0
33,",,W,",WSF5,2016-02-03T00:00:00,GHCND:USW00024216,11.0
34,",,W,",WSF5,2016-02-04T00:00:00,GHCND:USW00024216,19.9
35,",,W,",WSF5,2016-02-05T00:00:00,GHCND:USW00024216,11.0
36,",,W,",WSF5,2016-02-06T00:00:00,GHCND:USW00024216,17.0
37,",,W,",WSF5,2016-02-07T00:00:00,GHCND:USW00024216,23.9
38,",,W,",WSF5,2016-02-08T00:00:00,GHCND:USW00024216,21.0
39,",,W,",WSF5,2016-02-09T00:00:00,GHCND:USW00024216,12.1
40,",,W,",WSF5,2016-02-10T00:00:00,GHCND:USW00024216,12.1
41,",,W,",WSF5,2016-02-11T00:00:00,GHCND:USW00024216,8.9
42,",,W,",WSF5,2016-02-12T00:00:00,GHCND:USW00024216,12.1
43,",,W,",WSF5,2016-02-13T00:00:00,GHCND:USW00024216,19.9
44,",,W,",WSF5,2016-02-14T00:00:00,GHCND:USW00024216,23.0
45,",,W,",WSF5,2016-02-15T00:00:00,GHCND:USW00024216,17.0
46,",,W,",WSF5,2016-02-16T00:00:00,GHCND:USW00024216,13.0
47,",,W,",WSF5,2016-02-17T00:00:00,GHCND:USW00024216,42.1
48,",,W,",WSF5,2016-02-18T00:00:00,GHCND:USW00024216,40.9
49,",,W,",WSF5,2016-02-19T00:00:00,GHCND:USW00024216,46.1
50,",,W,",WSF5,2016-02-20T00:00:00,GHCND:USW00024216,21.0
51,",,W,",WSF5,2016-02-21T00:00:00,GHCND:USW00024216,12.1
52,",,W,",WSF5,2016-02-22T00:00:00,GHCND:USW00024216,23.0
53,",,W,",WSF5,2016-02-23T00:00:00,GHCND:USW00024216,16.1
54,",,W,",WSF5,2016-02-24T00:00:00,GHCND:USW00024216,11.0
55,",,W,",WSF5,2016-02-25T00:00:00,GHCND:USW00024216,13.0
56,",,W,",WSF5,2016-02-26T00:00:00,GHCND:USW00024216,18.1
57,",,W,",WSF5,2016-02-27T00:00:00,GHCND:USW00024216,14.1
58,",,W,",WSF5,2016-02-28T00:00:00,GHCND:USW00024216,10.1
59,",,W,",WSF5,2016-02-29T00:00:00,GHCND:USW00024216,15.0
60,",,W,",WSF5,2016-03-01T00:00:00,GHCND:USW00024216,23.0
61,",,W,",WSF5,2016-03-02T00:00:00,GHCND:USW00024216,31.1
62,",,W,",WSF5,2016-03-03T00:00:00,GHCND:USW00024216,23.0
63,",,W,",WSF5,2016-03-04T00:00:00,GHCND:USW00024216,29.1
64,",,W,",WSF5,2016-03-05T00:00:00,GHCND:USW00024216,52.1
65,",,W,",WSF5,2016-03-06T00:00:00,GHCND:USW00024216,42.1
66,",,W,",WSF5,2016-03-07T00:00:00,GHCND:USW00024216,32.0
67,",,W,",WSF5,2016-03-08T00:00:00,GHCND:USW00024216,16.1
68,",,W,",WSF5,2016-03-09T00:00:00,GHCND:USW00024216,36.0
69,",,W,",WSF5,2016-03-10T00:00:00,GHCND:USW00024216,44.1
70,",,W,",WSF5,2016-03-11T00:00:00,GHCND:USW00024216,32.0
71,",,W,",WSF5,2016-03-12T00:00:00,GHCND:USW00024216,44.1
72,",,W,",WSF5,2016-03-13T00:00:00,GHCND:USW00024216,46.1
73,",,W,",WSF5,2016-03-14T00:00:00,GHCND:USW00024216,19.9
74,",,W,",WSF5,2016-03-15T00:00:00,GHCND:USW00024216,14.1
75,",,W,",WSF5,2016-03-16T00:00:00,GHCND:USW00024216,25.1
76,",,W,",WSF5,2016-03-17T00:00:00,GHCND:USW00024216,19.0
77,",,W,",WSF5,2016-03-18T00:00:00,GHCND:USW00024216,13.0
78,",,W,",WSF5,2016-03-19T00:00:00,GHCND:USW00024216,16.1
79,",,W,",WSF5,2016-03-20T00:00:00,GHCND:USW00024216,38.9
80,",,W,",WSF5,2016-03-21T00:00:00,GHCND:USW00024216,42.9
81,",,W,",WSF5,2016-03-22T00:00:00,GHCND:USW00024216,14.1
82,",,W,",WSF5,2016-03-23T00:00:00,GHCND:USW00024216,18.1
83,",,W,",WSF5,2016-03-24T00:00:00,GHCND:USW00024216,13.0
84,",,W,",WSF5,2016-03-25T00:00:00,GHCND:USW00024216,19.0
