,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00024257,10
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00024257,10
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00024257,160
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00024257,150
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00024257,180
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00024257,170
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00024257,190
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00024257,200
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00024257,10
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00024257,360
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00024257,360
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00024257,170
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00024257,180
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00024257,190
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00024257,290
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00024257,350
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00024257,180
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00024257,170
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00024257,160
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00024257,10
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00024257,50
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00024257,170
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00024257,170
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00024257,10
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00024257,10
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00024257,150
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00024257,30
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00024257,100
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00024257,200
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00024257,30
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00024257,10
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00024257,20
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00024257,10
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00024257,40
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00024257,360
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00024257,310
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00024257,330
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00024257,360
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00024257,20
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00024257,300
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00024257,320
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00024257,10
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00024257,300
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00024257,20
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00024257,350
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00024257,10
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00024257,360
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00024257,160
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00024257,170
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00024257,180
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00024257,360
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00024257,310
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00024257,350
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00024257,30
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00024257,320
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00024257,330
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00024257,230
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00024257,10
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00024257,290
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00024257,90
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00024257,220
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00024257,140
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00024257,190
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00024257,180
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00024257,170
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00024257,160
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00024257,10
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00024257,150
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00024257,170
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00024257,170
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00024257,180
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00024257,170
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00024257,170
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00024257,190
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00024257,360
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00024257,360
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00024257,350
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00024257,170
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00024257,160
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00024257,190
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00024257,160
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00024257,110
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00024257,10
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00024257,120
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00024257,350
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00024257,20
