,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00014942,230
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00014942,340
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00014942,340
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00014942,150
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00014942,170
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00014942,170
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00014942,340
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00014942,350
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00014942,340
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00014942,340
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00014942,340
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00014942,340
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00014942,170
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00014942,300
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00014942,330
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00014942,350
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00014942,340
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00014942,140
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00014942,150
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00014942,160
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00014942,350
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00014942,340
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00014942,190
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00014942,120
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00014942,320
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00014942,330
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00014942,290
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00014942,290
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00014942,160
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00014942,350
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00014942,350
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00014942,50
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00014942,70
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00014942,330
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00014942,300
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00014942,170
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00014942,200
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00014942,330
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00014942,340
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00014942,340
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00014942,30
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00014942,40
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00014942,350
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00014942,130
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00014942,140
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00014942,200
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00014942,350
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00014942,150
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00014942,180
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00014942,280
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00014942,330
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00014942,350
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00014942,350
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00014942,340
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00014942,350
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00014942,330
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00014942,190
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00014942,220
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00014942,340
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00014942,50
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00014942,330
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00014942,160
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00014942,350
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00014942,170
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00014942,150
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00014942,210
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00014942,160
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00014942,180
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00014942,340
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00014942,90
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00014942,180
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00014942,140
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00014942,140
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00014942,270
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00014942,310
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00014942,290
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00014942,300
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00014942,320
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00014942,360
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00014942,320
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00014942,180
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00014942,70
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00014942,70
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00014942,350
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00014942,140
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00014942,310
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00014942,320
