,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00014777,250
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00014777,240
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00014777,350
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00014777,360
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00014777,360
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00014777,250
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00014777,110
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00014777,130
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00014777,120
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00014777,120
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00014777,240
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00014777,270
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00014777,240
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00014777,240
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00014777,190
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00014777,330
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00014777,330
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00014777,260
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00014777,290
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00014777,330
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00014777,340
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00014777,40
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00014777,350
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00014777,340
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00014777,240
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00014777,250
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00014777,310
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00014777,230
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00014777,330
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00014777,210
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00014777,230
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00014777,330
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00014777,140
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00014777,160
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00014777,330
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00014777,310
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00014777,250
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00014777,60
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00014777,120
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00014777,230
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00014777,250
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00014777,290
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00014777,240
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00014777,330
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00014777,310
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00014777,130
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00014777,160
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00014777,310
