,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00003932,350
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00003932,260
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00003932,340
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00003932,280
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00003932,180
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00003932,170
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00003932,170
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00003932,20
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00003932,340
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00003932,10
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00003932,220
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00003932,10
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00003932,190
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00003932,210
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00003932,340
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00003932,40
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00003932,10
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00003932,170
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00003932,350
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00003932,160
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00003932,330
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00003932,360
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00003932,170
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00003932,190
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00003932,340
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00003932,20
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00003932,220
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00003932,320
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00003932,190
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00003932,190
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00003932,320
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00003932,290
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00003932,290
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00003932,340
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00003932,230
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00003932,10
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00003932,200
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00003932,10
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00003932,330
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00003932,10
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00003932,230
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00003932,30
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00003932,20
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00003932,180
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00003932,170
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00003932,330
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00003932,360
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00003932,200
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00003932,190
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00003932,200
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00003932,320
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00003932,360
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00003932,70
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00003932,10
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00003932,310
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00003932,10
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00003932,240
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00003932,200
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00003932,190
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00003932,180
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00003932,360
