,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00014842,10.5
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00014842,8.5
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00014842,6.5
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00014842,5.1
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00014842,10.1
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00014842,9.4
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00014842,7.6
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00014842,8.5
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00014842,10.5
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00014842,11.4
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00014842,9.6
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00014842,11.4
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00014842,8.5
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00014842,11.2
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00014842,11.4
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00014842,10.3
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00014842,11.2
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00014842,8.1
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00014842,4.0
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00014842,2.9
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00014842,5.8
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00014842,8.5
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00014842,4.9
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00014842,8.7
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00014842,11.9
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00014842,13.4
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00014842,9.8
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00014842,10.3
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00014842,10.1
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00014842,4.7
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00014842,7.2
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00014842,4.0
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00014842,9.8
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00014842,14.5
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00014842,7.6
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00014842,4.3
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00014842,5.6
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00014842,10.3
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00014842,12.3
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00014842,11.4
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00014842,6.9
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00014842,3.8
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00014842,10.1
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00014842,4.9
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00014842,11.2
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00014842,4.3
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00014842,3.8
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00014842,4.9
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00014842,16.1
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00014842,18.6
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00014842,8.1
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00014842,5.8
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00014842,4.9
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00014842,10.3
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00014842,15.0
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00014842,10.5
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00014842,7.2
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00014842,10.3
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00014842,17.2
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00014842,10.1
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00014842,12.3
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00014842,5.8
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00014842,7.8
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00014842,6.9
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00014842,6.7
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00014842,12.5
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00014842,12.3
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00014842,14.1
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00014842,6.5
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00014842,5.1
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00014842,5.6
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00014842,6.9
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00014842,5.1
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00014842,2.7
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00014842,12.8
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00014842,17.4
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00014842,8.5
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00014842,4.9
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00014842,5.4
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00014842,7.2
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00014842,8.9
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00014842,15.2
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00014842,10.5
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00014842,10.3
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00014842,5.6
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00014842,7.8
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00014842,7.8
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00014842,6.5
