,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00024162,2.7
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00024162,5.1
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00024162,4.9
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00024162,2.5
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00024162,2.7
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00024162,2.7
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00024162,2.7
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00024162,0.7
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00024162,1.6
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00024162,0.7
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00024162,2.2
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00024162,4.7
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00024162,6.7
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00024162,4.9
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00024162,3.8
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00024162,2.0
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00024162,3.1
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00024162,4.3
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00024162,7.2
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00024162,6.9
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00024162,3.4
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00024162,3.4
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00024162,3.8
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00024162,6.0
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00024162,3.1
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00024162,3.8
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00024162,3.1
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00024162,3.1
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00024162,3.1
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00024162,2.7
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00024162,4.3
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00024162,10.5
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00024162,3.6
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00024162,4.7
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00024162,4.9
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00024162,4.5
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00024162,3.1
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00024162,3.1
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00024162,1.8
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00024162,2.0
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00024162,2.9
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00024162,2.2
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00024162,1.8
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00024162,2.7
