,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00003981,360
1,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00003981,10
2,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00003981,120
3,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00003981,150
4,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00003981,240
5,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00003981,350
6,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00003981,40
7,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00003981,250
8,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00003981,190
9,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00003981,230
10,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00003981,200
11,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00003981,350
12,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00003981,30
13,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00003981,10
14,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00003981,360
15,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00003981,360
16,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00003981,140
17,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00003981,330
18,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00003981,350
19,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00003981,170
20,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00003981,190
21,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00003981,340
22,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00003981,20
23,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00003981,240
24,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00003981,320
25,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00003981,200
26,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00003981,210
27,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00003981,320
28,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00003981,310
29,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00003981,290
30,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00003981,350
31,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00003981,220
32,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00003981,200
33,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00003981,340
34,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00003981,360
35,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00003981,340
36,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00003981,10
37,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00003981,220
38,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00003981,70
39,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00003981,150
40,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00003981,360
41,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00003981,330
42,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00003981,20
43,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00003981,200
44,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00003981,200
45,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00003981,60
46,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00003981,40
47,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00003981,20
48,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00003981,80
49,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00003981,20
50,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00003981,300
51,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00003981,340
52,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00003981,200
53,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00003981,200
54,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00003981,360
55,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00003981,180
56,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00003981,10
57,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00003981,190
58,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00003981,10
59,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00003981,190
60,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00003981,130
61,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00003981,190
62,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00003981,150
63,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00003981,190
64,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00003981,360
65,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00003981,10
66,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00003981,100
67,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00003981,110
68,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00003981,310
69,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00003981,230
70,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00003981,340
71,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00003981,40
72,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00003981,100
73,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00003981,360
74,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00003981,360
75,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00003981,20
76,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00003981,190
77,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00003981,190
78,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00003981,320
79,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00003981,320
80,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00003981,150
81,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00003981,340
82,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00003981,360
83,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00003981,130
84,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00003981,130
85,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00003981,260
86,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00003981,340
87,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00003981,10
88,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00003981,320
89,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00003981,210
90,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00003981,70
91,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00003981,210
92,",,W,",WDF5,2016-04-06T00:00:00,GHCND:USW00003981,330
93,",,W,",WDF5,2016-04-07T00:00:00,GHCND:USW00003981,20
94,",,W,",WDF5,2016-04-08T00:00:00,GHCND:USW00003981,150
95,",,W,",WDF5,2016-04-09T00:00:00,GHCND:USW00003981,190
96,",,W,",WDF5,2016-04-10T00:00:00,GHCND:USW00003981,240
97,",,W,",WDF5,2016-04-11T00:00:00,GHCND:USW00003981,240
98,",,W,",WDF5,2016-04-12T00:00:00,GHCND:USW00003981,40
99,",,W,",WDF5,2016-04-13T00:00:00,GHCND:USW00003981,150
100,",,W,",WDF5,2016-04-14T00:00:00,GHCND:USW00003981,100
101,",,W,",WDF5,2016-04-15T00:00:00,GHCND:USW00003981,110
102,",,W,",WDF5,2016-04-16T00:00:00,GHCND:USW00003981,310
103,",,W,",WDF5,2016-04-17T00:00:00,GHCND:USW00003981,360
104,",,W,",WDF5,2016-04-19T00:00:00,GHCND:USW00003981,300
105,",,W,",WDF5,2016-04-20T00:00:00,GHCND:USW00003981,140
106,",,W,",WDF5,2016-04-21T00:00:00,GHCND:USW00003981,350
107,",,W,",WDF5,2016-04-22T00:00:00,GHCND:USW00003981,10
108,",,W,",WDF5,2016-04-23T00:00:00,GHCND:USW00003981,160
109,",,W,",WDF5,2016-04-24T00:00:00,GHCND:USW00003981,190
110,",,W,",WDF5,2016-04-25T00:00:00,GHCND:USW00003981,200
111,",,W,",WDF5,2016-04-26T00:00:00,GHCND:USW00003981,230
112,",,W,",WDF5,2016-04-27T00:00:00,GHCND:USW00003981,320
113,",,W,",WDF5,2016-04-28T00:00:00,GHCND:USW00003981,110
114,",,W,",WDF5,2016-04-29T00:00:00,GHCND:USW00003981,270
115,",,W,",WDF5,2016-04-30T00:00:00,GHCND:USW00003981,350
116,",,W,",WDF5,2016-05-01T00:00:00,GHCND:USW00003981,360
117,",,W,",WDF5,2016-05-02T00:00:00,GHCND:USW00003981,360
118,",,W,",WDF5,2016-05-03T00:00:00,GHCND:USW00003981,340
119,",,W,",WDF5,2016-05-04T00:00:00,GHCND:USW00003981,30
120,",,W,",WDF5,2016-05-05T00:00:00,GHCND:USW00003981,120
121,",,W,",WDF5,2016-05-06T00:00:00,GHCND:USW00003981,130
122,",,W,",WDF5,2016-05-07T00:00:00,GHCND:USW00003981,150
123,",,W,",WDF5,2016-05-08T00:00:00,GHCND:USW00003981,160
124,",,W,",WDF5,2016-05-09T00:00:00,GHCND:USW00003981,220
125,",,W,",WDF5,2016-05-10T00:00:00,GHCND:USW00003981,170
126,",,W,",WDF5,2016-05-11T00:00:00,GHCND:USW00003981,230
127,",,W,",WDF5,2016-05-12T00:00:00,GHCND:USW00003981,300
128,",,W,",WDF5,2016-05-13T00:00:00,GHCND:USW00003981,360
129,",,W,",WDF5,2016-05-14T00:00:00,GHCND:USW00003981,50
130,",,W,",WDF5,2016-05-15T00:00:00,GHCND:USW00003981,60
131,",,W,",WDF5,2016-05-16T00:00:00,GHCND:USW00003981,160
132,",,W,",WDF5,2016-05-17T00:00:00,GHCND:USW00003981,20
133,",,W,",WDF5,2016-05-18T00:00:00,GHCND:USW00003981,20
134,",,W,",WDF5,2016-05-19T00:00:00,GHCND:USW00003981,50
135,",,W,",WDF5,2016-05-20T00:00:00,GHCND:USW00003981,140
136,",,W,",WDF5,2016-05-21T00:00:00,GHCND:USW00003981,110
137,",,W,",WDF5,2016-05-22T00:00:00,GHCND:USW00003981,150
138,",,W,",WDF5,2016-05-23T00:00:00,GHCND:USW00003981,150
139,",,W,",WDF5,2016-05-24T00:00:00,GHCND:USW00003981,350
140,",,W,",WDF5,2016-05-25T00:00:00,GHCND:USW00003981,190
141,",,W,",WDF5,2016-05-26T00:00:00,GHCND:USW00003981,160
142,",,W,",WDF5,2016-05-27T00:00:00,GHCND:USW00003981,160
143,",,W,",WDF5,2016-05-28T00:00:00,GHCND:USW00003981,70
144,",,W,",WDF5,2016-05-29T00:00:00,GHCND:USW00003981,340
145,",,W,",WDF5,2016-05-30T00:00:00,GHCND:USW00003981,120
146,",,W,",WDF5,2016-05-31T00:00:00,GHCND:USW00003981,10
147,",,W,",WDF5,2016-06-01T00:00:00,GHCND:USW00003981,170
148,",,W,",WDF5,2016-06-02T00:00:00,GHCND:USW00003981,20
149,",,W,",WDF5,2016-06-03T00:00:00,GHCND:USW00003981,50
150,",,W,",WDF5,2016-06-04T00:00:00,GHCND:USW00003981,20
151,",,W,",WDF5,2016-06-05T00:00:00,GHCND:USW00003981,40
152,",,W,",WDF5,2016-06-06T00:00:00,GHCND:USW00003981,230
153,",,W,",WDF5,2016-06-07T00:00:00,GHCND:USW00003981,190
154,",,W,",WDF5,2016-06-08T00:00:00,GHCND:USW00003981,170
155,",,W,",WDF5,2016-06-09T00:00:00,GHCND:USW00003981,150
156,",,W,",WDF5,2016-06-10T00:00:00,GHCND:USW00003981,170
157,",,W,",WDF5,2016-06-11T00:00:00,GHCND:USW00003981,160
158,",,W,",WDF5,2016-06-12T00:00:00,GHCND:USW00003981,90
159,",,W,",WDF5,2016-06-13T00:00:00,GHCND:USW00003981,10
160,",,W,",WDF5,2016-06-14T00:00:00,GHCND:USW00003981,360
161,",,W,",WDF5,2016-06-15T00:00:00,GHCND:USW00003981,200
162,",,W,",WDF5,2016-06-16T00:00:00,GHCND:USW00003981,160
163,",,W,",WDF5,2016-06-17T00:00:00,GHCND:USW00003981,150
164,",,W,",WDF5,2016-06-18T00:00:00,GHCND:USW00003981,50
165,",,W,",WDF5,2016-06-19T00:00:00,GHCND:USW00003981,120
166,",,W,",WDF5,2016-06-20T00:00:00,GHCND:USW00003981,150
167,",,W,",WDF5,2016-06-21T00:00:00,GHCND:USW00003981,210
168,",,W,",WDF5,2016-06-22T00:00:00,GHCND:USW00003981,190
169,",,W,",WDF5,2016-06-23T00:00:00,GHCND:USW00003981,180
170,",,W,",WDF5,2016-06-24T00:00:00,GHCND:USW00003981,150
171,",,W,",WDF5,2016-06-25T00:00:00,GHCND:USW00003981,170
172,",,W,",WDF5,2016-06-26T00:00:00,GHCND:USW00003981,170
173,",,W,",WDF5,2016-06-27T00:00:00,GHCND:USW00003981,10
174,",,W,",WDF5,2016-06-28T00:00:00,GHCND:USW00003981,10
175,",,W,",WDF5,2016-06-29T00:00:00,GHCND:USW00003981,20
176,",,W,",WDF5,2016-06-30T00:00:00,GHCND:USW00003981,100
177,",,W,",WDF5,2016-07-01T00:00:00,GHCND:USW00003981,140
178,",,W,",WDF5,2016-07-02T00:00:00,GHCND:USW00003981,280
179,",,W,",WDF5,2016-07-03T00:00:00,GHCND:USW00003981,190
180,",,W,",WDF5,2016-07-04T00:00:00,GHCND:USW00003981,160
181,",,W,",WDF5,2016-07-05T00:00:00,GHCND:USW00003981,250
182,",,W,",WDF5,2016-07-06T00:00:00,GHCND:USW00003981,280
183,",,W,",WDF5,2016-07-07T00:00:00,GHCND:USW00003981,200
184,",,W,",WDF5,2016-07-08T00:00:00,GHCND:USW00003981,160
185,",,W,",WDF5,2016-07-09T00:00:00,GHCND:USW00003981,120
186,",,W,",WDF5,2016-07-10T00:00:00,GHCND:USW00003981,140
187,",,W,",WDF5,2016-07-11T00:00:00,GHCND:USW00003981,150
188,",,W,",WDF5,2016-07-12T00:00:00,GHCND:USW00003981,190
189,",,W,",WDF5,2016-07-13T00:00:00,GHCND:USW00003981,190
190,",,W,",WDF5,2016-07-14T00:00:00,GHCND:USW00003981,280
191,",,W,",WDF5,2016-07-15T00:00:00,GHCND:USW00003981,340
192,",,W,",WDF5,2016-07-16T00:00:00,GHCND:USW00003981,150
193,",,W,",WDF5,2016-07-17T00:00:00,GHCND:USW00003981,160
194,",,W,",WDF5,2016-07-18T00:00:00,GHCND:USW00003981,130
195,",,W,",WDF5,2016-07-19T00:00:00,GHCND:USW00003981,130
196,",,W,",WDF5,2016-07-20T00:00:00,GHCND:USW00003981,130
197,",,W,",WDF5,2016-07-21T00:00:00,GHCND:USW00003981,180
198,",,W,",WDF5,2016-07-22T00:00:00,GHCND:USW00003981,150
199,",,W,",WDF5,2016-07-23T00:00:00,GHCND:USW00003981,110
200,",,W,",WDF5,2016-07-24T00:00:00,GHCND:USW00003981,130
201,",,W,",WDF5,2016-07-25T00:00:00,GHCND:USW00003981,110
202,",,W,",WDF5,2016-07-26T00:00:00,GHCND:USW00003981,110
203,",,W,",WDF5,2016-07-27T00:00:00,GHCND:USW00003981,140
204,",,W,",WDF5,2016-07-28T00:00:00,GHCND:USW00003981,160
205,",,W,",WDF5,2016-07-29T00:00:00,GHCND:USW00003981,50
206,",,W,",WDF5,2016-08-01T00:00:00,GHCND:USW00003981,190
207,",,W,",WDF5,2016-08-02T00:00:00,GHCND:USW00003981,240
208,",,W,",WDF5,2016-08-03T00:00:00,GHCND:USW00003981,230
209,",,W,",WDF5,2016-08-04T00:00:00,GHCND:USW00003981,150
210,",,W,",WDF5,2016-08-05T00:00:00,GHCND:USW00003981,170
211,",,W,",WDF5,2016-08-06T00:00:00,GHCND:USW00003981,150
212,",,W,",WDF5,2016-08-07T00:00:00,GHCND:USW00003981,200
213,",,W,",WDF5,2016-08-08T00:00:00,GHCND:USW00003981,300
214,",,W,",WDF5,2016-08-09T00:00:00,GHCND:USW00003981,170
215,",,W,",WDF5,2016-08-10T00:00:00,GHCND:USW00003981,240
216,",,W,",WDF5,2016-08-11T00:00:00,GHCND:USW00003981,160
217,",,W,",WDF5,2016-08-12T00:00:00,GHCND:USW00003981,360
218,",,W,",WDF5,2016-08-13T00:00:00,GHCND:USW00003981,360
219,",,W,",WDF5,2016-08-14T00:00:00,GHCND:USW00003981,20
220,",,W,",WDF5,2016-08-15T00:00:00,GHCND:USW00003981,120
221,",,W,",WDF5,2016-08-16T00:00:00,GHCND:USW00003981,110
222,",,W,",WDF5,2016-08-17T00:00:00,GHCND:USW00003981,150
223,",,W,",WDF5,2016-08-18T00:00:00,GHCND:USW00003981,200
224,",,W,",WDF5,2016-08-19T00:00:00,GHCND:USW00003981,140
225,",,W,",WDF5,2016-08-20T00:00:00,GHCND:USW00003981,320
226,",,W,",WDF5,2016-08-21T00:00:00,GHCND:USW00003981,80
227,",,W,",WDF5,2016-08-22T00:00:00,GHCND:USW00003981,170
228,",,W,",WDF5,2016-08-23T00:00:00,GHCND:USW00003981,210
229,",,W,",WDF5,2016-08-24T00:00:00,GHCND:USW00003981,300
230,",,W,",WDF5,2016-08-25T00:00:00,GHCND:USW00003981,320
231,",,W,",WDF5,2016-08-26T00:00:00,GHCND:USW00003981,300
232,",,W,",WDF5,2016-08-27T00:00:00,GHCND:USW00003981,170
233,",,W,",WDF5,2016-08-28T00:00:00,GHCND:USW00003981,120
234,",,W,",WDF5,2016-08-29T00:00:00,GHCND:USW00003981,120
235,",,W,",WDF5,2016-08-30T00:00:00,GHCND:USW00003981,90
236,",,W,",WDF5,2016-08-31T00:00:00,GHCND:USW00003981,360
237,",,W,",WDF5,2016-09-01T00:00:00,GHCND:USW00003981,40
238,",,W,",WDF5,2016-09-02T00:00:00,GHCND:USW00003981,90
239,",,W,",WDF5,2016-09-03T00:00:00,GHCND:USW00003981,120
240,",,W,",WDF5,2016-09-04T00:00:00,GHCND:USW00003981,160
241,",,W,",WDF5,2016-09-05T00:00:00,GHCND:USW00003981,170
242,",,W,",WDF5,2016-09-06T00:00:00,GHCND:USW00003981,180
243,",,W,",WDF5,2016-09-07T00:00:00,GHCND:USW00003981,210
244,",,W,",WDF5,2016-09-08T00:00:00,GHCND:USW00003981,170
245,",,W,",WDF5,2016-09-09T00:00:00,GHCND:USW00003981,20
246,",,W,",WDF5,2016-09-10T00:00:00,GHCND:USW00003981,10
247,",,W,",WDF5,2016-09-11T00:00:00,GHCND:USW00003981,180
248,",,W,",WDF5,2016-09-12T00:00:00,GHCND:USW00003981,200
249,",,W,",WDF5,2016-09-13T00:00:00,GHCND:USW00003981,330
250,",,W,",WDF5,2016-09-14T00:00:00,GHCND:USW00003981,40
251,",,W,",WDF5,2016-09-15T00:00:00,GHCND:USW00003981,140
252,",,W,",WDF5,2016-09-16T00:00:00,GHCND:USW00003981,240
253,",,W,",WDF5,2016-09-17T00:00:00,GHCND:USW00003981,80
254,",,W,",WDF5,2016-09-18T00:00:00,GHCND:USW00003981,350
255,",,W,",WDF5,2016-09-19T00:00:00,GHCND:USW00003981,160
256,",,W,",WDF5,2016-09-20T00:00:00,GHCND:USW00003981,200
257,",,W,",WDF5,2016-09-21T00:00:00,GHCND:USW00003981,190
258,",,W,",WDF5,2016-09-22T00:00:00,GHCND:USW00003981,170
259,",,W,",WDF5,2016-09-23T00:00:00,GHCND:USW00003981,130
260,",,W,",WDF5,2016-09-24T00:00:00,GHCND:USW00003981,140
261,",,W,",WDF5,2016-09-25T00:00:00,GHCND:USW00003981,360
262,",,W,",WDF5,2016-09-26T00:00:00,GHCND:USW00003981,40
263,",,W,",WDF5,2016-09-27T00:00:00,GHCND:USW00003981,310
264,",,W,",WDF5,2016-09-28T00:00:00,GHCND:USW00003981,360
265,",,W,",WDF5,2016-09-29T00:00:00,GHCND:USW00003981,360
266,",,W,",WDF5,2016-09-30T00:00:00,GHCND:USW00003981,210
267,",,W,",WDF5,2016-10-01T00:00:00,GHCND:USW00003981,130
268,",,W,",WDF5,2016-10-02T00:00:00,GHCND:USW00003981,140
269,",,W,",WDF5,2016-10-03T00:00:00,GHCND:USW00003981,150
270,",,W,",WDF5,2016-10-04T00:00:00,GHCND:USW00003981,160
271,",,W,",WDF5,2016-10-05T00:00:00,GHCND:USW00003981,250
272,",,W,",WDF5,2016-10-06T00:00:00,GHCND:USW00003981,140
273,",,W,",WDF5,2016-10-07T00:00:00,GHCND:USW00003981,20
274,",,W,",WDF5,2016-10-08T00:00:00,GHCND:USW00003981,60
275,",,W,",WDF5,2016-10-09T00:00:00,GHCND:USW00003981,160
276,",,W,",WDF5,2016-10-10T00:00:00,GHCND:USW00003981,170
277,",,W,",WDF5,2016-10-11T00:00:00,GHCND:USW00003981,160
278,",,W,",WDF5,2016-10-12T00:00:00,GHCND:USW00003981,340
279,",,W,",WDF5,2016-10-13T00:00:00,GHCND:USW00003981,120
280,",,W,",WDF5,2016-10-14T00:00:00,GHCND:USW00003981,200
281,",,W,",WDF5,2016-10-15T00:00:00,GHCND:USW00003981,180
282,",,W,",WDF5,2016-10-16T00:00:00,GHCND:USW00003981,200
283,",,W,",WDF5,2016-10-17T00:00:00,GHCND:USW00003981,210
284,",,W,",WDF5,2016-10-18T00:00:00,GHCND:USW00003981,310
285,",,W,",WDF5,2016-10-19T00:00:00,GHCND:USW00003981,20
286,",,W,",WDF5,2016-10-20T00:00:00,GHCND:USW00003981,20
287,",,W,",WDF5,2016-10-21T00:00:00,GHCND:USW00003981,180
288,",,W,",WDF5,2016-10-22T00:00:00,GHCND:USW00003981,170
289,",,W,",WDF5,2016-10-23T00:00:00,GHCND:USW00003981,150
290,",,W,",WDF5,2016-10-24T00:00:00,GHCND:USW00003981,220
291,",,W,",WDF5,2016-10-25T00:00:00,GHCND:USW00003981,170
