,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00024011,280
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00024011,320
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00024011,90
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00024011,170
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00024011,360
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00024011,70
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00024011,360
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00024011,350
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00024011,340
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00024011,290
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00024011,320
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00024011,330
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00024011,60
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00024011,340
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00024011,360
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00024011,320
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00024011,310
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00024011,150
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00024011,150
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00024011,40
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00024011,20
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00024011,200
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00024011,320
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00024011,320
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00024011,330
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00024011,330
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00024011,290
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00024011,300
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00024011,290
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00024011,280
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00024011,290
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00024011,350
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00024011,20
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00024011,290
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00024011,330
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00024011,270
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00024011,280
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00024011,320
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00024011,330
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00024011,70
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00024011,80
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00024011,350
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00024011,350
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00024011,160
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00024011,290
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00024011,330
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00024011,90
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00024011,150
