,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00024011,12.1
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00024011,11.2
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00024011,3.6
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00024011,6.5
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00024011,2.7
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00024011,5.8
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00024011,5.4
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00024011,10.7
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00024011,7.4
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00024011,2.2
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00024011,12.8
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00024011,5.6
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00024011,3.8
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00024011,7.4
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00024011,4.9
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00024011,12.1
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00024011,9.2
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00024011,6.3
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00024011,7.8
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00024011,6.3
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00024011,2.0
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00024011,10.5
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00024011,7.6
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00024011,7.4
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00024011,11.6
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00024011,8.5
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00024011,15.7
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00024011,8.1
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00024011,10.1
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00024011,4.3
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00024011,5.6
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00024011,2.0
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00024011,8.3
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00024011,6.9
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00024011,7.8
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00024011,5.8
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00024011,10.1
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00024011,27.5
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00024011,17.9
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00024011,6.5
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00024011,8.7
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00024011,6.3
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00024011,7.4
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00024011,15.2
