,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00024011,280
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00024011,320
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00024011,220
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00024011,170
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00024011,350
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00024011,70
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00024011,340
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00024011,360
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00024011,350
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00024011,290
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00024011,330
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00024011,320
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00024011,60
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00024011,340
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00024011,350
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00024011,320
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00024011,320
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00024011,150
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00024011,150
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00024011,40
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00024011,50
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00024011,210
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00024011,320
23,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00024011,330
24,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00024011,310
25,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00024011,280
26,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00024011,310
27,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00024011,290
28,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00024011,290
29,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00024011,290
30,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00024011,350
31,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00024011,340
32,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00024011,290
33,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00024011,330
34,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00024011,270
35,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00024011,280
36,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00024011,330
37,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00024011,330
38,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00024011,350
39,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00024011,70
40,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00024011,10
41,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00024011,360
42,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00024011,160
43,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00024011,310
44,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00024011,330
45,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00024011,320
46,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00024011,160
47,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00024011,140
48,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00024011,320
49,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00024011,320
50,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00024011,20
51,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00024011,310
52,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00024011,330
53,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00024011,330
