,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00014775,57
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00014775,1350
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00014775,1316
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00014775,2013
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00014775,15
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00014775,1352
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00014775,1040
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00014775,1059
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00014775,1920
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00014775,2254
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00014775,326
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00014775,1336
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00014775,1015
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00014775,1332
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00014775,2359
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00014775,2340
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00014775,339
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00014775,1230
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00014775,1608
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00014775,19
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00014775,1907
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00014775,1030
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00014775,2152
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00014775,7
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00014775,33
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00014775,1107
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00014775,1610
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00014775,1346
28,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00014775,2002
