,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00014775,300
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00014775,300
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00014775,230
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00014775,340
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00014775,10
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00014775,200
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00014775,350
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00014775,20
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00014775,60
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00014775,270
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00014775,300
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00014775,200
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00014775,300
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00014775,280
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00014775,10
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00014775,330
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00014775,310
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00014775,280
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00014775,300
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00014775,310
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00014775,300
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00014775,360
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00014775,360
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00014775,360
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00014775,350
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00014775,190
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00014775,310
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00014775,200
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00014775,310
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00014775,200
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00014775,190
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00014775,320
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00014775,300
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00014775,180
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00014775,300
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00014775,310
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00014775,160
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00014775,60
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00014775,40
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00014775,10
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00014775,300
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00014775,290
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00014775,310
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00014775,300
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00014775,340
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00014775,10
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00014775,290
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00014775,320
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00014775,320
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00014775,200
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00014775,230
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00014775,320
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00014775,300
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00014775,60
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00014775,360
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00014775,160
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00014775,290
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00014775,200
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00014775,210
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00014775,300
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00014775,300
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00014775,320
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00014775,340
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00014775,20
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00014775,350
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00014775,60
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00014775,190
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00014775,160
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00014775,280
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00014775,10
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00014775,310
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00014775,240
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00014775,10
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00014775,110
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00014775,20
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00014775,280
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00014775,290
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00014775,310
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00014775,310
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00014775,10
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00014775,280
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00014775,310
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00014775,360
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00014775,90
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00014775,350
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00014775,320
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00014775,190
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00014775,280
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00014775,300
89,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00014775,170
90,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00014775,200
91,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00014775,310
92,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00014775,320
93,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00014775,270
94,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00014775,360
95,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00014775,330
96,",,W,",WDF5,2016-04-06T00:00:00,GHCND:USW00014775,170
97,",,W,",WDF5,2016-04-07T00:00:00,GHCND:USW00014775,160
98,",,W,",WDF5,2016-04-08T00:00:00,GHCND:USW00014775,230
99,",,W,",WDF5,2016-04-09T00:00:00,GHCND:USW00014775,360
100,",,W,",WDF5,2016-04-10T00:00:00,GHCND:USW00014775,310
101,",,W,",WDF5,2016-04-11T00:00:00,GHCND:USW00014775,200
102,",,W,",WDF5,2016-04-12T00:00:00,GHCND:USW00014775,330
103,",,W,",WDF5,2016-04-13T00:00:00,GHCND:USW00014775,10
104,",,W,",WDF5,2016-04-14T00:00:00,GHCND:USW00014775,20
105,",,W,",WDF5,2016-04-15T00:00:00,GHCND:USW00014775,60
106,",,W,",WDF5,2016-04-16T00:00:00,GHCND:USW00014775,10
107,",,W,",WDF5,2016-04-17T00:00:00,GHCND:USW00014775,20
108,",,W,",WDF5,2016-04-18T00:00:00,GHCND:USW00014775,200
109,",,W,",WDF5,2016-04-19T00:00:00,GHCND:USW00014775,350
110,",,W,",WDF5,2016-04-20T00:00:00,GHCND:USW00014775,20
111,",,W,",WDF5,2016-04-21T00:00:00,GHCND:USW00014775,230
112,",,W,",WDF5,2016-04-22T00:00:00,GHCND:USW00014775,330
113,",,W,",WDF5,2016-04-23T00:00:00,GHCND:USW00014775,320
114,",,W,",WDF5,2016-04-24T00:00:00,GHCND:USW00014775,360
115,",,W,",WDF5,2016-04-25T00:00:00,GHCND:USW00014775,320
116,",,W,",WDF5,2016-04-26T00:00:00,GHCND:USW00014775,80
117,",,W,",WDF5,2016-04-27T00:00:00,GHCND:USW00014775,260
118,",,W,",WDF5,2016-04-28T00:00:00,GHCND:USW00014775,180
119,",,W,",WDF5,2016-04-29T00:00:00,GHCND:USW00014775,230
120,",,W,",WDF5,2016-04-30T00:00:00,GHCND:USW00014775,190
121,",,W,",WDF5,2016-05-01T00:00:00,GHCND:USW00014775,160
122,",,W,",WDF5,2016-05-02T00:00:00,GHCND:USW00014775,300
123,",,W,",WDF5,2016-05-03T00:00:00,GHCND:USW00014775,10
124,",,W,",WDF5,2016-05-04T00:00:00,GHCND:USW00014775,40
125,",,W,",WDF5,2016-05-05T00:00:00,GHCND:USW00014775,50
126,",,W,",WDF5,2016-05-06T00:00:00,GHCND:USW00014775,60
127,",,W,",WDF5,2016-05-07T00:00:00,GHCND:USW00014775,10
128,",,W,",WDF5,2016-05-08T00:00:00,GHCND:USW00014775,310
129,",,W,",WDF5,2016-05-09T00:00:00,GHCND:USW00014775,310
130,",,W,",WDF5,2016-05-10T00:00:00,GHCND:USW00014775,280
131,",,W,",WDF5,2016-05-11T00:00:00,GHCND:USW00014775,340
132,",,W,",WDF5,2016-05-12T00:00:00,GHCND:USW00014775,180
133,",,W,",WDF5,2016-05-13T00:00:00,GHCND:USW00014775,180
134,",,W,",WDF5,2016-05-14T00:00:00,GHCND:USW00014775,200
135,",,W,",WDF5,2016-05-15T00:00:00,GHCND:USW00014775,280
136,",,W,",WDF5,2016-05-16T00:00:00,GHCND:USW00014775,290
137,",,W,",WDF5,2016-05-17T00:00:00,GHCND:USW00014775,260
138,",,W,",WDF5,2016-05-18T00:00:00,GHCND:USW00014775,160
139,",,W,",WDF5,2016-05-19T00:00:00,GHCND:USW00014775,10
140,",,W,",WDF5,2016-05-20T00:00:00,GHCND:USW00014775,300
141,",,W,",WDF5,2016-05-21T00:00:00,GHCND:USW00014775,180
142,",,W,",WDF5,2016-05-22T00:00:00,GHCND:USW00014775,20
143,",,W,",WDF5,2016-05-23T00:00:00,GHCND:USW00014775,340
144,",,W,",WDF5,2016-05-24T00:00:00,GHCND:USW00014775,30
145,",,W,",WDF5,2016-05-25T00:00:00,GHCND:USW00014775,310
146,",,W,",WDF5,2016-05-26T00:00:00,GHCND:USW00014775,180
147,",,W,",WDF5,2016-05-27T00:00:00,GHCND:USW00014775,220
148,",,W,",WDF5,2016-05-28T00:00:00,GHCND:USW00014775,180
149,",,W,",WDF5,2016-05-29T00:00:00,GHCND:USW00014775,10
150,",,W,",WDF5,2016-05-30T00:00:00,GHCND:USW00014775,250
151,",,W,",WDF5,2016-05-31T00:00:00,GHCND:USW00014775,260
152,",,W,",WDF5,2016-06-01T00:00:00,GHCND:USW00014775,60
153,",,W,",WDF5,2016-06-02T00:00:00,GHCND:USW00014775,180
154,",,W,",WDF5,2016-06-03T00:00:00,GHCND:USW00014775,180
155,",,W,",WDF5,2016-06-04T00:00:00,GHCND:USW00014775,160
156,",,W,",WDF5,2016-06-05T00:00:00,GHCND:USW00014775,280
157,",,W,",WDF5,2016-06-06T00:00:00,GHCND:USW00014775,210
158,",,W,",WDF5,2016-06-07T00:00:00,GHCND:USW00014775,320
159,",,W,",WDF5,2016-06-08T00:00:00,GHCND:USW00014775,290
160,",,W,",WDF5,2016-06-09T00:00:00,GHCND:USW00014775,270
161,",,W,",WDF5,2016-06-10T00:00:00,GHCND:USW00014775,320
162,",,W,",WDF5,2016-06-11T00:00:00,GHCND:USW00014775,170
163,",,W,",WDF5,2016-06-12T00:00:00,GHCND:USW00014775,270
164,",,W,",WDF5,2016-06-13T00:00:00,GHCND:USW00014775,290
165,",,W,",WDF5,2016-06-14T00:00:00,GHCND:USW00014775,320
166,",,W,",WDF5,2016-06-15T00:00:00,GHCND:USW00014775,270
167,",,W,",WDF5,2016-06-16T00:00:00,GHCND:USW00014775,30
168,",,W,",WDF5,2016-06-17T00:00:00,GHCND:USW00014775,20
169,",,W,",WDF5,2016-06-18T00:00:00,GHCND:USW00014775,160
170,",,W,",WDF5,2016-06-19T00:00:00,GHCND:USW00014775,180
171,",,W,",WDF5,2016-06-20T00:00:00,GHCND:USW00014775,150
172,",,W,",WDF5,2016-06-21T00:00:00,GHCND:USW00014775,320
173,",,W,",WDF5,2016-06-22T00:00:00,GHCND:USW00014775,320
174,",,W,",WDF5,2016-06-23T00:00:00,GHCND:USW00014775,180
175,",,W,",WDF5,2016-06-24T00:00:00,GHCND:USW00014775,180
176,",,W,",WDF5,2016-06-25T00:00:00,GHCND:USW00014775,180
177,",,W,",WDF5,2016-06-26T00:00:00,GHCND:USW00014775,170
178,",,W,",WDF5,2016-06-27T00:00:00,GHCND:USW00014775,160
179,",,W,",WDF5,2016-06-28T00:00:00,GHCND:USW00014775,170
180,",,W,",WDF5,2016-06-29T00:00:00,GHCND:USW00014775,320
181,",,W,",WDF5,2016-06-30T00:00:00,GHCND:USW00014775,270
182,",,W,",WDF5,2016-07-01T00:00:00,GHCND:USW00014775,180
183,",,W,",WDF5,2016-07-02T00:00:00,GHCND:USW00014775,320
184,",,W,",WDF5,2016-07-03T00:00:00,GHCND:USW00014775,290
185,",,W,",WDF5,2016-07-04T00:00:00,GHCND:USW00014775,240
186,",,W,",WDF5,2016-07-05T00:00:00,GHCND:USW00014775,280
187,",,W,",WDF5,2016-07-06T00:00:00,GHCND:USW00014775,280
188,",,W,",WDF5,2016-07-07T00:00:00,GHCND:USW00014775,220
189,",,W,",WDF5,2016-07-08T00:00:00,GHCND:USW00014775,60
190,",,W,",WDF5,2016-07-09T00:00:00,GHCND:USW00014775,100
191,",,W,",WDF5,2016-07-10T00:00:00,GHCND:USW00014775,360
192,",,W,",WDF5,2016-07-11T00:00:00,GHCND:USW00014775,360
193,",,W,",WDF5,2016-07-12T00:00:00,GHCND:USW00014775,200
194,",,W,",WDF5,2016-07-13T00:00:00,GHCND:USW00014775,200
195,",,W,",WDF5,2016-07-14T00:00:00,GHCND:USW00014775,280
196,",,W,",WDF5,2016-07-15T00:00:00,GHCND:USW00014775,220
197,",,W,",WDF5,2016-07-16T00:00:00,GHCND:USW00014775,320
198,",,W,",WDF5,2016-07-17T00:00:00,GHCND:USW00014775,290
199,",,W,",WDF5,2016-07-18T00:00:00,GHCND:USW00014775,320
200,",,W,",WDF5,2016-07-19T00:00:00,GHCND:USW00014775,320
201,",,W,",WDF5,2016-07-20T00:00:00,GHCND:USW00014775,300
202,",,W,",WDF5,2016-07-21T00:00:00,GHCND:USW00014775,260
203,",,W,",WDF5,2016-07-22T00:00:00,GHCND:USW00014775,300
204,",,W,",WDF5,2016-07-23T00:00:00,GHCND:USW00014775,360
205,",,W,",WDF5,2016-07-24T00:00:00,GHCND:USW00014775,310
206,",,W,",WDF5,2016-07-25T00:00:00,GHCND:USW00014775,190
