,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00003991,360
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00003991,240
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00003991,330
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00003991,80
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00003991,140
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00003991,100
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00003991,210
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00003991,330
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00003991,330
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00003991,330
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00003991,190
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00003991,210
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00003991,200
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00003991,200
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00003991,210
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00003991,40
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00003991,360
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00003991,20
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00003991,170
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00003991,330
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00003991,330
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00003991,330
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00003991,140
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00003991,180
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00003991,180
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00003991,10
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00003991,300
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00003991,350
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00003991,210
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00003991,190
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00003991,180
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00003991,190
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00003991,260
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00003991,340
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00003991,240
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00003991,170
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00003991,170
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00003991,190
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00003991,320
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00003991,350
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00003991,210
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00003991,220
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00003991,70
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00003991,150
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00003991,190
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00003991,310
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00003991,360
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00003991,160
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00003991,180
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00003991,200
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00003991,200
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00003991,360
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00003991,20
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00003991,340
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00003991,320
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00003991,330
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00003991,190
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00003991,190
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00003991,170
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00003991,170
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00003991,20
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00003991,190
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00003991,340
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00003991,170
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00003991,140
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00003991,170
