,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-01-01T00:00:00,GHCND:USC00107644,39.1
1,",,7,",WDMV,2016-01-02T00:00:00,GHCND:USC00107644,34.8
2,",,7,",WDMV,2016-01-03T00:00:00,GHCND:USC00107644,34.2
3,",,7,",WDMV,2016-01-04T00:00:00,GHCND:USC00107644,47.2
4,",,7,",WDMV,2016-01-05T00:00:00,GHCND:USC00107644,46.0
5,",,7,",WDMV,2016-01-06T00:00:00,GHCND:USC00107644,52.2
6,",,7,",WDMV,2016-01-07T00:00:00,GHCND:USC00107644,42.3
7,",,7,",WDMV,2016-01-08T00:00:00,GHCND:USC00107644,54.1
8,",,7,",WDMV,2016-01-09T00:00:00,GHCND:USC00107644,39.1
9,",,7,",WDMV,2016-01-10T00:00:00,GHCND:USC00107644,11.2
10,",,7,",WDMV,2016-01-11T00:00:00,GHCND:USC00107644,24.9
11,",,7,",WDMV,2016-01-12T00:00:00,GHCND:USC00107644,31.7
12,",,7,",WDMV,2016-01-13T00:00:00,GHCND:USC00107644,160.9
13,",,7,",WDMV,2016-01-14T00:00:00,GHCND:USC00107644,103.8
14,",,7,",WDMV,2016-01-15T00:00:00,GHCND:USC00107644,19.9
15,",,7,",WDMV,2016-01-16T00:00:00,GHCND:USC00107644,42.3
16,",,7,",WDMV,2016-01-17T00:00:00,GHCND:USC00107644,90.1
17,",,7,",WDMV,2016-01-18T00:00:00,GHCND:USC00107644,23.0
18,",,7,",WDMV,2016-01-19T00:00:00,GHCND:USC00107644,220.0
19,",,7,",WDMV,2016-01-20T00:00:00,GHCND:USC00107644,147.9
20,",,7,",WDMV,2016-01-21T00:00:00,GHCND:USC00107644,36.0
21,",,7,",WDMV,2016-01-22T00:00:00,GHCND:USC00107644,23.0
22,",,7,",WDMV,2016-01-23T00:00:00,GHCND:USC00107644,60.3
23,",,7,",WDMV,2016-01-24T00:00:00,GHCND:USC00107644,49.7
24,",,7,",WDMV,2016-01-25T00:00:00,GHCND:USC00107644,60.3
25,",,7,",WDMV,2016-01-26T00:00:00,GHCND:USC00107644,14.3
26,",,7,",WDMV,2016-01-27T00:00:00,GHCND:USC00107644,95.7
27,",,7,",WDMV,2016-01-28T00:00:00,GHCND:USC00107644,29.2
28,",,7,",WDMV,2016-01-29T00:00:00,GHCND:USC00107644,47.8
29,",,7,",WDMV,2016-01-30T00:00:00,GHCND:USC00107644,210.0
30,",,7,",WDMV,2016-01-31T00:00:00,GHCND:USC00107644,95.1
31,",,7,",WDMV,2016-02-01T00:00:00,GHCND:USC00107644,23.0
32,",,7,",WDMV,2016-02-02T00:00:00,GHCND:USC00107644,23.0
33,",,7,",WDMV,2016-02-03T00:00:00,GHCND:USC00107644,19.9
34,",,7,",WDMV,2016-02-04T00:00:00,GHCND:USC00107644,11.2
35,",,7,",WDMV,2016-02-05T00:00:00,GHCND:USC00107644,16.2
36,",,7,",WDMV,2016-02-06T00:00:00,GHCND:USC00107644,18.0
37,",,7,",WDMV,2016-02-07T00:00:00,GHCND:USC00107644,32.9
38,",,7,",WDMV,2016-02-08T00:00:00,GHCND:USC00107644,18.0
