,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00024145,10.3
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00024145,8.3
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00024145,6.9
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00024145,5.4
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00024145,3.4
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00024145,3.4
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00024145,1.3
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00024145,5.1
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00024145,6.5
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00024145,3.6
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00024145,4.5
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00024145,6.5
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00024145,5.8
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00024145,16.8
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00024145,4.9
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00024145,4.3
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00024145,5.6
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00024145,7.8
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00024145,6.7
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00024145,16.1
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00024145,5.8
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00024145,6.5
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00024145,4.3
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00024145,7.6
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00024145,4.9
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00024145,5.1
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00024145,6.5
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00024145,5.6
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00024145,10.5
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00024145,13.4
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00024145,7.6
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00024145,12.3
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00024145,5.8
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00024145,5.4
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00024145,4.3
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00024145,6.7
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00024145,4.9
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00024145,6.0
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00024145,3.8
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00024145,5.8
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00024145,5.4
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00024145,5.4
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00024145,4.3
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00024145,11.0
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00024145,18.1
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00024145,17.0
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00024145,9.2
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00024145,5.4
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00024145,19.7
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00024145,12.8
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00024145,13.0
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00024145,6.3
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00024145,4.9
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00024145,6.7
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00024145,8.1
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00024145,7.6
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00024145,7.6
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00024145,11.2
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00024145,6.7
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00024145,11.2
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00024145,6.0
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00024145,13.4
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00024145,4.7
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00024145,7.2
