,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-01-01T00:00:00,GHCND:USC00298535,39.1
1,",,7,",WDMV,2016-01-02T00:00:00,GHCND:USC00298535,19.9
2,",,7,",WDMV,2016-01-03T00:00:00,GHCND:USC00298535,19.9
3,",,7,",WDMV,2016-01-04T00:00:00,GHCND:USC00298535,19.3
4,",,7,",WDMV,2016-01-05T00:00:00,GHCND:USC00298535,64.0
5,",,7,",WDMV,2016-01-06T00:00:00,GHCND:USC00298535,11.8
6,",,7,",WDMV,2016-01-07T00:00:00,GHCND:USC00298535,34.2
7,",,7,",WDMV,2016-01-08T00:00:00,GHCND:USC00298535,70.2
8,",,7,",WDMV,2016-01-09T00:00:00,GHCND:USC00298535,57.2
9,",,7,",WDMV,2016-01-10T00:00:00,GHCND:USC00298535,21.1
10,",,7,",WDMV,2016-01-11T00:00:00,GHCND:USC00298535,14.9
11,",,7,",WDMV,2016-01-12T00:00:00,GHCND:USC00298535,44.7
12,",,7,",WDMV,2016-01-13T00:00:00,GHCND:USC00298535,19.3
13,",,7,",WDMV,2016-01-14T00:00:00,GHCND:USC00298535,26.1
14,",,7,",WDMV,2016-01-15T00:00:00,GHCND:USC00298535,47.8
15,",,7,",WDMV,2016-01-16T00:00:00,GHCND:USC00298535,67.7
16,",,7,",WDMV,2016-01-17T00:00:00,GHCND:USC00298535,16.2
17,",,7,",WDMV,2016-01-18T00:00:00,GHCND:USC00298535,36.0
18,",,7,",WDMV,2016-01-19T00:00:00,GHCND:USC00298535,18.0
19,",,7,",WDMV,2016-01-20T00:00:00,GHCND:USC00298535,16.8
20,",,7,",WDMV,2016-01-21T00:00:00,GHCND:USC00298535,69.0
21,",,7,",WDMV,2016-01-22T00:00:00,GHCND:USC00298535,34.2
22,",,7,",WDMV,2016-01-23T00:00:00,GHCND:USC00298535,19.3
23,",,7,",WDMV,2016-01-24T00:00:00,GHCND:USC00298535,8.7
24,",,7,",WDMV,2016-01-25T00:00:00,GHCND:USC00298535,64.0
25,",,7,",WDMV,2016-01-26T00:00:00,GHCND:USC00298535,44.7
26,",,7,",WDMV,2016-01-27T00:00:00,GHCND:USC00298535,31.7
27,",,7,",WDMV,2016-01-28T00:00:00,GHCND:USC00298535,14.9
28,",,7,",WDMV,2016-01-29T00:00:00,GHCND:USC00298535,13.0
29,",,7,",WDMV,2016-01-30T00:00:00,GHCND:USC00298535,21.1
30,",,7,",WDMV,2016-01-31T00:00:00,GHCND:USC00298535,55.9
31,",,7,",WDMV,2016-02-01T00:00:00,GHCND:USC00298535,62.8
32,",,7,",WDMV,2016-02-02T00:00:00,GHCND:USC00298535,106.9
33,",,7,",WDMV,2016-02-03T00:00:00,GHCND:USC00298535,85.1
34,",,7,",WDMV,2016-02-04T00:00:00,GHCND:USC00298535,42.3
35,",,7,",WDMV,2016-02-05T00:00:00,GHCND:USC00298535,31.1
36,",,7,",WDMV,2016-02-06T00:00:00,GHCND:USC00298535,75.8
37,",,7,",WDMV,2016-02-07T00:00:00,GHCND:USC00298535,24.2
38,",,7,",WDMV,2016-02-08T00:00:00,GHCND:USC00298535,26.1
39,",,7,",WDMV,2016-02-09T00:00:00,GHCND:USC00298535,16.2
40,",,7,",WDMV,2016-02-10T00:00:00,GHCND:USC00298535,16.2
41,",,7,",WDMV,2016-02-11T00:00:00,GHCND:USC00298535,19.3
42,",,7,",WDMV,2016-02-12T00:00:00,GHCND:USC00298535,28.0
43,",,7,",WDMV,2016-02-13T00:00:00,GHCND:USC00298535,16.8
44,",,7,",WDMV,2016-02-14T00:00:00,GHCND:USC00298535,18.0
45,",,7,",WDMV,2016-02-15T00:00:00,GHCND:USC00298535,36.0
46,",,7,",WDMV,2016-02-16T00:00:00,GHCND:USC00298535,26.1
47,",,7,",WDMV,2016-02-17T00:00:00,GHCND:USC00298535,14.3
48,",,7,",WDMV,2016-02-18T00:00:00,GHCND:USC00298535,14.9
49,",,7,",WDMV,2016-02-19T00:00:00,GHCND:USC00298535,42.3
50,",,7,",WDMV,2016-02-20T00:00:00,GHCND:USC00298535,19.3
51,",,7,",WDMV,2016-02-21T00:00:00,GHCND:USC00298535,13.0
52,",,7,",WDMV,2016-02-22T00:00:00,GHCND:USC00298535,52.8
53,",,7,",WDMV,2016-02-23T00:00:00,GHCND:USC00298535,72.1
54,",,7,",WDMV,2016-02-24T00:00:00,GHCND:USC00298535,67.7
55,",,7,",WDMV,2016-02-25T00:00:00,GHCND:USC00298535,18.0
56,",,7,",WDMV,2016-02-26T00:00:00,GHCND:USC00298535,26.7
57,",,7,",WDMV,2016-02-27T00:00:00,GHCND:USC00298535,11.8
58,",,7,",WDMV,2016-02-28T00:00:00,GHCND:USC00298535,21.1
59,",,7,",WDMV,2016-02-29T00:00:00,GHCND:USC00298535,13.0
60,",,7,",WDMV,2016-03-01T00:00:00,GHCND:USC00298535,42.3
61,",,7,",WDMV,2016-03-02T00:00:00,GHCND:USC00298535,24.9
62,",,7,",WDMV,2016-03-03T00:00:00,GHCND:USC00298535,65.2
63,",,7,",WDMV,2016-03-04T00:00:00,GHCND:USC00298535,19.3
64,",,7,",WDMV,2016-03-05T00:00:00,GHCND:USC00298535,19.3
65,",,7,",WDMV,2016-03-06T00:00:00,GHCND:USC00298535,13.0
66,",,7,",WDMV,2016-03-07T00:00:00,GHCND:USC00298535,37.9
67,",,7,",WDMV,2016-03-08T00:00:00,GHCND:USC00298535,60.3
68,",,7,",WDMV,2016-03-09T00:00:00,GHCND:USC00298535,34.2
69,",,7,",WDMV,2016-03-10T00:00:00,GHCND:USC00298535,29.2
70,",,7,",WDMV,2016-03-11T00:00:00,GHCND:USC00298535,26.7
71,",,7,",WDMV,2016-03-12T00:00:00,GHCND:USC00298535,16.2
72,",,7,",WDMV,2016-03-13T00:00:00,GHCND:USC00298535,103.1
73,",,7,",WDMV,2016-03-14T00:00:00,GHCND:USC00298535,47.2
74,",,7,",WDMV,2016-03-15T00:00:00,GHCND:USC00298535,77.1
75,",,7,",WDMV,2016-03-16T00:00:00,GHCND:USC00298535,31.1
76,",,7,",WDMV,2016-03-17T00:00:00,GHCND:USC00298535,37.9
77,",,7,",WDMV,2016-03-18T00:00:00,GHCND:USC00298535,44.7
78,",,7,",WDMV,2016-03-19T00:00:00,GHCND:USC00298535,44.1
79,",,7,",WDMV,2016-03-20T00:00:00,GHCND:USC00298535,62.1
80,",,7,",WDMV,2016-03-21T00:00:00,GHCND:USC00298535,29.2
81,",,7,",WDMV,2016-03-22T00:00:00,GHCND:USC00298535,29.2
82,",,7,",WDMV,2016-03-23T00:00:00,GHCND:USC00298535,87.0
83,",,7,",WDMV,2016-03-24T00:00:00,GHCND:USC00298535,100.0
84,",,7,",WDMV,2016-03-25T00:00:00,GHCND:USC00298535,24.9
85,",,7,",WDMV,2016-03-26T00:00:00,GHCND:USC00298535,54.1
86,",,7,",WDMV,2016-03-27T00:00:00,GHCND:USC00298535,72.7
87,",,7,",WDMV,2016-03-28T00:00:00,GHCND:USC00298535,21.7
88,",,7,",WDMV,2016-03-29T00:00:00,GHCND:USC00298535,49.1
89,",,7,",WDMV,2016-03-30T00:00:00,GHCND:USC00298535,101.3
90,",,7,",WDMV,2016-03-31T00:00:00,GHCND:USC00298535,73.9
91,",,7,",WDMV,2016-04-01T00:00:00,GHCND:USC00298535,60.9
92,",,7,",WDMV,2016-04-02T00:00:00,GHCND:USC00298535,39.1
93,",,7,",WDMV,2016-04-03T00:00:00,GHCND:USC00298535,18.0
94,",,7,",WDMV,2016-04-04T00:00:00,GHCND:USC00298535,21.1
95,",,7,",WDMV,2016-04-05T00:00:00,GHCND:USC00298535,19.3
96,",,7,",WDMV,2016-04-06T00:00:00,GHCND:USC00298535,67.1
97,",,7,",WDMV,2016-04-07T00:00:00,GHCND:USC00298535,24.9
98,",,7,",WDMV,2016-04-08T00:00:00,GHCND:USC00298535,19.9
99,",,7,",WDMV,2016-04-09T00:00:00,GHCND:USC00298535,42.9
100,",,7,",WDMV,2016-04-10T00:00:00,GHCND:USC00298535,28.0
