,attributes,datatype,date,station,value
0,",,W,",WSF2,2016-01-01T00:00:00,GHCND:USW00023044,18.1
1,",,W,",WSF2,2016-01-02T00:00:00,GHCND:USW00023044,12.1
2,",,W,",WSF2,2016-01-03T00:00:00,GHCND:USW00023044,8.9
3,",,W,",WSF2,2016-01-04T00:00:00,GHCND:USW00023044,18.1
4,",,W,",WSF2,2016-01-05T00:00:00,GHCND:USW00023044,14.1
5,",,W,",WSF2,2016-01-06T00:00:00,GHCND:USW00023044,32.0
6,",,W,",WSF2,2016-01-07T00:00:00,GHCND:USW00023044,32.0
7,",,W,",WSF2,2016-01-08T00:00:00,GHCND:USW00023044,36.9
8,",,W,",WSF2,2016-01-09T00:00:00,GHCND:USW00023044,25.1
9,",,W,",WSF2,2016-01-10T00:00:00,GHCND:USW00023044,15.0
10,",,W,",WSF2,2016-01-11T00:00:00,GHCND:USW00023044,17.0
11,",,W,",WSF2,2016-01-12T00:00:00,GHCND:USW00023044,6.9
12,",,W,",WSF2,2016-01-13T00:00:00,GHCND:USW00023044,12.1
13,",,W,",WSF2,2016-01-14T00:00:00,GHCND:USW00023044,30.0
14,",,W,",WSF2,2016-01-15T00:00:00,GHCND:USW00023044,38.9
15,",,W,",WSF2,2016-01-16T00:00:00,GHCND:USW00023044,25.1
16,",,W,",WSF2,2016-01-17T00:00:00,GHCND:USW00023044,16.1
17,",,W,",WSF2,2016-01-18T00:00:00,GHCND:USW00023044,16.1
18,",,W,",WSF2,2016-01-19T00:00:00,GHCND:USW00023044,28.0
19,",,W,",WSF2,2016-01-20T00:00:00,GHCND:USW00023044,33.1
20,",,W,",WSF2,2016-01-21T00:00:00,GHCND:USW00023044,25.9
21,",,W,",WSF2,2016-01-22T00:00:00,GHCND:USW00023044,8.1
22,",,W,",WSF2,2016-01-23T00:00:00,GHCND:USW00023044,10.1
23,",,W,",WSF2,2016-01-24T00:00:00,GHCND:USW00023044,38.0
24,",,W,",WSF2,2016-01-25T00:00:00,GHCND:USW00023044,17.0
25,",,W,",WSF2,2016-01-26T00:00:00,GHCND:USW00023044,19.9
26,",,W,",WSF2,2016-01-27T00:00:00,GHCND:USW00023044,13.0
27,",,W,",WSF2,2016-01-28T00:00:00,GHCND:USW00023044,12.1
28,",,W,",WSF2,2016-01-29T00:00:00,GHCND:USW00023044,21.0
29,",,W,",WSF2,2016-01-30T00:00:00,GHCND:USW00023044,28.0
30,",,W,",WSF2,2016-01-31T00:00:00,GHCND:USW00023044,32.0
31,",,W,",WSF2,2016-02-01T00:00:00,GHCND:USW00023044,40.0
32,",,W,",WSF2,2016-02-02T00:00:00,GHCND:USW00023044,36.9
33,",,W,",WSF2,2016-02-03T00:00:00,GHCND:USW00023044,17.0
34,",,W,",WSF2,2016-02-04T00:00:00,GHCND:USW00023044,15.0
35,",,W,",WSF2,2016-02-05T00:00:00,GHCND:USW00023044,25.1
36,",,W,",WSF2,2016-02-06T00:00:00,GHCND:USW00023044,14.1
37,",,W,",WSF2,2016-02-07T00:00:00,GHCND:USW00023044,12.1
38,",,W,",WSF2,2016-02-08T00:00:00,GHCND:USW00023044,12.1
39,",,W,",WSF2,2016-02-09T00:00:00,GHCND:USW00023044,10.1
40,",,W,",WSF2,2016-02-10T00:00:00,GHCND:USW00023044,10.1
41,",,W,",WSF2,2016-02-11T00:00:00,GHCND:USW00023044,8.9
42,",,W,",WSF2,2016-02-12T00:00:00,GHCND:USW00023044,10.1
43,",,W,",WSF2,2016-02-13T00:00:00,GHCND:USW00023044,14.1
44,",,W,",WSF2,2016-02-14T00:00:00,GHCND:USW00023044,23.0
45,",,W,",WSF2,2016-02-15T00:00:00,GHCND:USW00023044,15.0
46,",,W,",WSF2,2016-02-16T00:00:00,GHCND:USW00023044,15.0
47,",,W,",WSF2,2016-02-17T00:00:00,GHCND:USW00023044,8.9
48,",,W,",WSF2,2016-02-18T00:00:00,GHCND:USW00023044,29.1
49,",,W,",WSF2,2016-02-19T00:00:00,GHCND:USW00023044,17.0
50,",,W,",WSF2,2016-02-20T00:00:00,GHCND:USW00023044,14.1
51,",,W,",WSF2,2016-02-21T00:00:00,GHCND:USW00023044,21.0
52,",,W,",WSF2,2016-02-22T00:00:00,GHCND:USW00023044,36.9
53,",,W,",WSF2,2016-02-23T00:00:00,GHCND:USW00023044,30.0
54,",,W,",WSF2,2016-02-24T00:00:00,GHCND:USW00023044,8.9
55,",,W,",WSF2,2016-02-25T00:00:00,GHCND:USW00023044,18.1
